id,name,lat,lon
00001,Aach,47.8413,8.8493
00002,Aachen,50.8066,6.0996
00003,Aachen,50.7827,6.0941
00004,Aachen-Brand,50.7683,6.1207
00006,Aalen-Unterrombach,48.8361,10.0598
00007,Aalen-Unterkochen,48.8140,10.1285
00008,Aarbergen-Panrod,50.2546,8.1310
00009,Aarbergen-Rückershausen,50.2655,8.0516
00010,"Abbach,Bad-Dünzling",48.8857,12.1079
00012,Abbensen,52.3814,10.1860
00013,Abberode,51.6154,11.2892
00014,Abelitzmoor,53.5333,7.5000
00015,Abenberg,49.2346,10.9667
00016,Abenberg-Wassermungenau,49.2193,10.8845
00017,Abensberg-Sandharlanden,48.8421,11.8194
00018,Abentheuerhütte,49.6500,7.0833
00019,Abtsgmünd-Neubronn,48.8795,9.9710
00020,Abtsgmünd-Untergröningen,48.9219,9.9129
00021,Achberg-Doberatsweiler,47.6104,9.6981
00022,Achern-Fautenbach,48.6317,8.0466
00023,Achim-Embsen,53.0311,9.0232
00024,Achthal,47.8333,12.7833
00025,Adelberg,48.7667,9.6000
00026,Adelheidsdorf,52.5503,10.0544
00027,"Adelholzen,",47.8167,12.6167
00028,Adelmannsfelden,48.9540,10.0060
00029,Adelsdorf,49.7175,10.9101
00030,Adelsheim,49.4064,9.3914
00031,Adendorf,53.2833,10.4333
00032,Adenstedt,52.0000,9.9333
00033,Aderstedt,52.0286,10.9994
00034,Adolzfurt,49.1667,9.4500
00035,Adorf,50.3120,12.2875
00036,Aerzen-Reher,52.0308,9.2350
00037,Affing,48.4612,10.9795
00038,Ahaus,52.0900,7.0095
00039,Ahausen,53.0585,9.3092
00040,Ahlbeck,53.6674,14.1823
00041,Ahlden-Grethem,52.7356,9.5665
00042,Ahlen,51.7736,7.8738
00043,Ahlen,53.7000,8.7833
00044,Großenkneten,52.9336,8.2370
00045,Ahnatal-Weimar,51.3740,9.4042
00046,Aholfing,48.9450,12.4639
00047,Ahorn-Eubigheim,49.4997,9.5439
00048,Ahorntal-Kirchahorn,49.8364,11.4025
00050,Ahrendsberg,51.8500,10.4667
00051,Ahrensbök,54.0167,10.5667
00052,Ahrensburg-Wulfsdorf,53.6623,10.1990
00053,Ahrensfelde,52.5850,13.5634
00054,Ahrenshöft,54.5667,9.0667
00055,"Aibling,",47.8778,12.0240
00056,Aichach,48.4500,11.1333
00057,Hollenbach/Bayern-Schönbach,48.4799,11.0521
00058,Aichstetten,47.8922,10.0796
00059,Aiglsbach,48.6929,11.7022
00060,Aislingen,48.5032,10.4591
00061,Aiterhofen,48.8443,12.6171
00062,Aitern-Untermulten,47.8191,7.8569
00063,Aitrang,47.8173,10.5376
00064,Aken/Elbe,51.8488,12.0491
00065,Albaching,48.1094,12.1049
00066,Albersdorf,54.1500,9.2833
00067,Albersrieth,49.6667,12.3000
00068,Albrechtshain,51.3015,12.5692
00069,Albstadt-Burgfelden,48.2413,8.9329
00070,Albstadt-Ebingen,48.2052,9.0371
00071,Albstadt-Badkap,48.2156,8.9784
00072,Albstadt-Onstmettingen,48.2766,9.0001
00073,Aldersbach-Kramersepp,48.6183,13.0620
00074,Alesheim,49.0500,10.8667
00075,Alfdorf,48.8412,9.7267
00076,Alfdorf-Pfahlbronn,48.8354,9.6842
00077,Alfeld/Leine,51.9916,9.8191
00078,Alfhausen,52.4853,7.9125
00079,Alfter-Volmershoven,50.6718,7.0155
00080,Alheim-Heinebach,51.0518,9.6617
00081,Allendorf/Eder-Osterfeld,51.0590,8.6521
00082,Allerdorf,53.0333,9.1833
00083,Alleringersleben,52.2130,11.1414
00084,Allersberg,49.2507,11.2430
00085,Allrode,51.6765,10.9694
00086,Allstedt,51.3998,11.3889
00087,Alperstedt,51.0950,11.0479
00088,Alpirsbach,48.3226,8.3944
00089,Alsenz,49.7167,7.8167
00091,Alsfeld-Eifa,50.7446,9.3450
00092,Alsfeld-Lingelbach,50.7638,9.4031
00093,Alsfeld-Reibertenrod,50.7691,9.2542
00094,Alt,53.3096,11.3133
00095,Alt,52.3780,14.2317
00096,Neuruppin-Alt,52.9437,12.8518
00097,Alt,52.4275,14.4420
00098,Altastenberg,51.1890,8.4671
00099,Altbrandsleben,52.0728,11.2475
00100,Altdöbern,51.6504,14.0318
00101,Altdorf,49.3864,11.3705
00103,Hagelstadt,48.8960,12.2170
00104,Altena,51.2856,7.6922
00105,Ahrbrück,50.4844,6.9711
00106,Altenau,51.7976,10.4429
00107,Altenau,51.8000,10.4333
00108,Altenau-Bastesiedlung,51.8333,10.5333
00109,Altenau-Torfhaus/Harz,51.8012,10.5379
00110,Altenberge,52.0487,7.4877
00111,Altenbrak,51.7273,10.9362
00112,Altenbrak/Rappbode,51.7390,10.8965
00113,Altenbrak-Todtenrode,51.7365,10.9569
00115,Altenbrak-Wendefurth,51.7412,10.9190
00116,Altenburg,50.9833,12.4333
00117,Altendambach,50.5605,10.7179
00118,Altendorf,49.4053,12.2852
00119,Altenhagen-Starkow,54.2756,12.7514
00120,Altenhof,52.9136,13.7118
00121,Neitersen,50.6654,7.5765
00122,Altenmedingen-Eddelstorf,53.1471,10.6195
00123,Altenparkstein,49.7667,12.0833
00124,"Bibra,",51.2388,11.5770
00127,Altensteig-Wart,48.6171,8.6501
00128,Altenthann-Forstmühle,49.0844,12.3232
00129,Altentreptow,53.6893,13.2420
00130,Altertheim-Oberaltertheim,49.7284,9.7692
00131,Geringswalde-Altgeringswalde,51.0881,12.9326
00132,Altglashütte,49.7725,12.3891
00133,Althengstett-Ottenbronn,48.7359,8.7493
00134,Althütte,49.3333,12.7667
00135,Altkirchen,50.9333,12.3500
00137,Altlohberghütte,49.1762,13.1315
00138,Altmannstein-Laimerstadt,48.8821,11.7114
00139,Altmannstein-Pondorf,48.9437,11.5694
00140,Altmersleben,52.6861,11.4272
00141,Altmörbitz/Wyhra,50.9932,12.5731
00142,Altomünster-Maisbrunn,48.4060,11.3117
00143,Altomünster-Wollomoos,48.4012,11.1984
00144,Altreetz,52.7642,14.1664
00145,Altusried-Krugzell,47.7986,10.2539
00146,Altusried-Muthmannshofen,47.7922,10.0988
00147,Altwigshagen,53.7171,13.8351
00148,Alveslohe,53.8000,9.9000
00149,Alzenau,50.0888,9.0598
00150,Alzey,49.7273,8.1164
00151,Amberg-Unterammersricht,49.4691,11.8546
