point_id,Uziarnienie,Jednostka,1995,2000,2005,2010,2015,2020
173,"BN-78/9180-11: 1,0-0,1 mm",udział w %,60,58,58,58,63,50
173,"BN-78/9180-11: 0,1-0,02 mm",udział w %,28,30,31,29,29,35
173,BN-78/9180-11: < 0.02 mm,udział w %,12,12,11,13,8,15
173,"PTG 2008: 2,0-0,05 mm",udział w %,,,,73,78,63
173,"PTG 2008: 0,05-0,002 mm",udział w %,,,,25,20,33
173,PTG 2008: < 0.002 mm,udział w %,2,3,4,2,2,4
173,"Odczyn ""pH "" w zawiesinie H2O",pH,5.5,6.0,5.6,5.5,5.7,5.6
173,"Odczyn ""pH "" w zawiesinie KCl",pH,4.1,4.4,4.4,4.2,4.6,4.9
173,Węglany (CaCO3),%,,,,,,0.47
173,Próchnica,%,2.3,2.29,2.26,1.0,1.76,1.66
173,Węgiel organiczny,%,1.33,1.33,1.31,0.58,1.02,0.96
173,Azot ogólny,%,0.075,0.068,0.063,0.058,0.08,0.08
173,Stosunek C/N,,17.7,19.5,20.8,10.0,12.8,12
173,Kwasowość hydrolityczna (Hh),cmol(+)*kg-1,4.2,3.93,3.93,3.6,3.53,2.9
173,Kwasowośc wymienna (Hw),cmol(+)*kg-1,0.54,0.37,0.23,0.81,0.4,0.1
173,"Glin wymienny ""Al""",cmol(+)*kg-1,0.29,0.14,0.02,0.63,0.1,"<0,0022"
173,Wapń wymianny (Ca2+),cmol(+)*kg-1,1.75,2.02,1.92,0.98,1.3,3
173,Magnez wymienny (Mg2+),cmol(+)*kg-1,0.33,0.38,0.45,0.16,0.4,0.55
173,Sód wymienny (Na+),cmol(+)*kg-1,0.06,0.06,0.01,0.06,0.01,"<0,10"
173,Potas wymienny (K+),cmol(+)*kg-1,0.34,0.38,0.6,0.3,0.47,0.28
173,Suma kationów wymiennych (S),cmol(+)*kg-1,2.48,2.84,2.98,1.5,2.18,3.83
173,Pojemność sorpcyjna gleby (T),cmol(+)*kg-1,6.68,6.77,6.91,5.1,5.71,6.9
173,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V),%,37.13,41.95,43.13,29.45,38.21,55.51
173,Fosfor przyswajalny,mg P2O5* 100g-1,9.2,7.9,9.1,9.4,7.5,10
173,Potas przyswajalny,mg K2O*100g-1,11.1,12.1,17.6,10.3,14.1,9.1
173,Magnez przyswajalny,mg Mg*100g-1,4.0,4.2,5.1,2.2,4.5,5.9
173,Siarka przyswajalna,mg S-SO4*100g-1,0.63,0.5,0.75,0.74,0.93,3
173,Azot amonowy,NNH4 mg*kg-1,,,,,19.42,1
173,Azot azotanowy,NNO3 mg*kg-1,,,,,5.22,33.3
173,Fosfor,%,0.034,0.03,0.043,0.034,0.03,0.052
173,Wapń,%,0.08,0.07,0.08,0.03,0.04,0.14
173,Magnez,%,0.07,0.05,0.08,0.03,0.03,0.13
