point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
1,1995,353.0,,,,,,,,,,,,,,,
1,2000,397.0,,,,,,,,,,,,,,,
1,2005,186.0,,,,,,,,,,,,,,,
1,2010,202.4,,,,,,,,,,,,,,,
1,2015,238.1,5.9,15.5,6.1,20.7,30.8,16.6,11.7,19.3,6.5,35.2,4.0,19.9,3.0,22.3,29.6
1,2020,88,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",34,"<25,0",34,"<25,0","<25,0",28
3,1995,941.0,,,,,,,,,,,,,,,
3,2000,795.0,,,,,,,,,,,,,,,
3,2005,521.0,,,,,,,,,,,,,,,
3,2010,528.6,,,,,,,,,,,,,,,
3,2015,713.9,7.5,63.4,13.0,70.7,102.0,51.2,35.6,68.5,11.7,111.1,4.2,55.6,6.1,35.2,97.1
3,2020,1178,"<25,0",96,113,116,"<25,0",111,97,114,37,206,"<25,0",153,"<25,0",84,164
5,1995,579.0,,,,,,,,,,,,,,,
5,2000,386.0,,,,,,,,,,,,,,,
5,2005,268.0,,,,,,,,,,,,,,,
5,2010,301.7,,,,,,,,,,,,,,,
5,2015,525.3,6.2,40.7,9.9,52.4,73.7,38.2,25.5,46.0,6.8,82.6,4.9,40.7,12.1,37.9,69.8
5,2020,363,"<25,0",44,"<25,0",43,"<25,0",33,"<25,0",33,"<25,0",73,"<25,0",41,"<25,0",43,53
7,1995,315.0,,,,,,,,,,,,,,,
7,2000,290.0,,,,,,,,,,,,,,,
7,2005,767.0,,,,,,,,,,,,,,,
7,2010,644.1,,,,,,,,,,,,,,,
7,2015,298.2,5.2,20.3,6.6,25.9,39.1,23.2,15.3,25.8,8.2,45.0,1.8,25.1,3.9,23.0,40.4
7,2020,332,"<25,0",25,"<25,0",37,38,28,33,36,"<25,0",53,"<25,0",35,"<25,0","<25,0",47
9,1995,683.0,,,,,,,,,,,,,,,
