point_id,year,available ammonium nitrogen[NNH4 mg*kg-1],available magnesium [mg Mg*100g-1],available nitrate nitrogen [NNO3 mg*kg-1],available phosphorus [mg P2O5* 100g-1],available potassium [mg K2O*100g-1],available sulphur [mg S-SO4*100g-1]
1,1995,,1.8,,3.2,3.9,1.37
1,2000,,3.0,,4.8,3.2,1.25
1,2005,,5.0,,9.1,4.7,1.05
1,2010,,3.3,,42.6,8.4,0.96
1,2015,5.64,3.4,7.11,56.4,10.8,0.83
1,2020,2.7,13.5,32.7,39.6,16.4,2.1
3,1995,,2.6,,13.3,3.9,1.0
3,2000,,2.5,,12.6,5.8,1.25
3,2005,,3.2,,12.8,10.7,0.83
3,2010,,2.8,,11.8,6.5,1.0
3,2015,5.7,1.94,"<1,00",11.0,7.9,0.39
3,2020,33.3,5.5,2.2,17.2,9.8,3.9
5,1995,,4.2,,9.5,16.1,1.0
5,2000,,5.2,,7.1,15.5,1.3
5,2005,,5.3,,8.1,21.4,0.88
5,2010,,4.4,,17.1,21.9,1.68
5,2015,11.11,7.4,10.3,9.5,29.6,0.68
5,2020,21.4,9.8,2.3,8.8,12.7,3.0
7,1995,,5.4,,4.6,20.6,1.87
7,2000,,6.5,,7.0,16.6,1.65
7,2005,,6.0,,8.9,21.1,1.28
7,2010,,6.3,,3.9,9.4,1.28
7,2015,10.61,4.8,7.3,3.0,8.9,0.43
7,2020,26.6,4.9,39.5,17.8,37.2,1.9
9,1995,,11.0,,88.0,9.0,1.38
9,2000,,12.0,,77.5,10.3,1.38
9,2005,,8.2,,23.5,14.4,1.23
9,2010,,2.14,,23.5,18.0,0.52
9,2015,7.75,1.92,"<1,00",27.0,9.9,0.32
9,2020,2.2,1.9,33.4,20.9,5.3,2.7
13,1995,,5.8,,1.8,7.6,1.38
13,2000,,5.9,,3.7,9.6,1.38
13,2005,,6.4,,8.4,11.7,1.13
13,2010,,6.5,,8.4,13.1,1.21
13,2015,5.27,6.16,8.18,8.8,14.3,0.91
13,2020,2.3,7.7,34.0,18.1,29.3,1.4
15,1995,,6.6,,8.7,7.8,1.38
15,2000,,8.8,,9.8,10.0,1.25
15,2005,,8.7,,6.6,7.7,1.35
15,2010,,6.7,,8.3,13.1,1.66
15,2015,7.19,6.4,2.56,4.8,7.5,2.13
15,2020,5.7,2.9,33.5,10.8,5.9,2.6
17,1995,,4.2,,21.8,10.4,1.25
17,2000,,3.9,,26.0,9.6,1.38
17,2005,,53.0,,23.6,11.0,1.25
17,2010,,5.1,,25.0,16.2,1.3
17,2015,7.71,4.5,2.75,23.1,17.5,0.52
17,2020,3.2,5.2,33.4,23.5,17.3,3.3
21,1995,,7.3,,4.4,8.1,1.38
21,2000,,7.1,,7.0,11.1,1.55
21,2005,,20.1,,56.6,24.7,1.5
21,2010,,13.3,,69.3,16.4,1.46
21,2015,9.81,10.7,3.63,78.7,16.8,1.0
21,2020,3.8,13.3,35.9,42.6,13.6,2.8
23,1995,,5.8,,24.2,7.9,1.38
23,2000,,6.8,,28.0,10.9,1.08
23,2005,,6.3,,24.3,10.7,1.15
23,2010,,7.1,,22.5,19.7,0.87
23,2015,6.11,5.4,1.71,16.0,20.4,1.81
23,2020,2.3,9.2,34.9,6.2,5.9,2.2
25,1995,,19.8,,3.6,8.6,2.88
25,2000,,21.5,,5.0,8.8,2.87
25,2005,,20.1,,3.3,7.1,2.0
25,2010,,21.2,,2.4,7.1,1.86
25,2015,7.17,17.6,"<1,00",1.8,7.3,1.59
25,2020,4.0,1.4,51.2,10.6,12.7,4.78
27,1995,,6.4,,10.4,16.6,1.88
27,2000,,8.0,,7.9,17.7,1.75
27,2005,,6.0,,10.9,18.2,1.5
27,2010,,5.5,,7.2,11.6,1.24
27,2015,9.5,4.2,8.93,10.2,11.0,0.62
27,2020,4.4,6.3,33.9,5.3,13.0,4.5
29,1995,,9.4,,4.8,10.6,1.0
29,2000,,8.9,,3.7,13.3,1.0
29,2005,,10.6,,2.7,17.0,0.75
29,2010,,13.9,,2.2,24.6,1.07
29,2015,7.73,10.8,12.38,4.5,32.8,0.59
29,2020,2.3,4.5,33.9,5.7,9.7,3.5
