point_id,year,ArsenAs mg*kg-1,Azot amonowyNNH4 mg*kg-1,Azot azotanowyNNO3 mg*kg-1,Azot ogólny%,"BN-78/9180-11: 0,1-0,02 mmudział w %","BN-78/9180-11: 1,0-0,1 mmudział w %",BN-78/9180-11: < 0.02 mmudział w %,BarBa mg*kg-1,BerylBe mg*kg-1,ChromCr mg*kg-1,CynkZn mg*kg-1,Fosfor przyswajalnymg P2O5* 100g-1,Fosfor%,"Glin wymienny ""Al""cmol(+)*kg-1",Glin%,KadmCd mg*kg-1,KobaltCo mg*kg-1,Kwasowośc wymienna (Hw)cmol(+)*kg-1,Kwasowość hydrolityczna (Hh)cmol(+)*kg-1,LantanLa mg*kg-1,LitLi mg*kg-1,Magnez przyswajalnymg Mg*100g-1,Magnez wymienny (Mg2+)cmol(+)*kg-1,Magnez%,ManganMn mg*kg-1,MiedźCu mg*kg-1,NikielNi mg*kg-1,"Odczyn ""pH "" w zawiesinie H2OpH","Odczyn ""pH "" w zawiesinie KClpH",OłówPb mg*kg-1,"PTG 2008: 0,05-0,002 mmudział w %","PTG 2008: 2,0-0,05 mmudział w %",PTG 2008: < 0.002 mmudział w %,Pestycydy - zwiazki nie chlorowe - atrazinmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbarylmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbofuranmg*kg-1,Pestycydy chloroorganiczne - DDT/DDE/DDDmg*kg-1,Pestycydy chloroorganiczne - aldrinmg*kg-1,Pestycydy chloroorganiczne - alfa-HCHmg*kg-1,Pestycydy chloroorganiczne - beta-HCHmg*kg-1,Pestycydy chloroorganiczne - dieldrinmg*kg-1,Pestycydy chloroorganiczne - endrinmg*kg-1,Pestycydy chloroorganiczne - gamma-HCHmg*kg-1,Pojemność sorpcyjna gleby (T)cmol(+)*kg-1,Potas przyswajalnymg K2O*100g-1,Potas wymienny (K+)cmol(+)*kg-1,Potas%,Przewodnictwo elektryczne właściwemS*m-1,Próchnica%,RadioaktywnośćBq*kg-1,RtecHg mg*kg-1,Siarka przyswajalnamg S-SO4*100g-1,Siarka%,Stosunek C/Nnan,StrontSr mg*kg-1,Suma kationów wymiennych (S)cmol(+)*kg-1,Sód wymienny (Na+)cmol(+)*kg-1,Sód%,WWA - antracenµg*kg-1,WWA - benzo(a)antracenµg*kg-1,WWA - benzo(a)fluorantenµg*kg-1,WWA - benzo(a)pirenµg*kg-1,WWA - benzo(b)fluorantenµg*kg-1,WWA - benzo(ghi)perylenµg*kg-1,WWA - benzo(k)fluorantenµg*kg-1,WWA - chryzenµg*kg-1,"WWA - dibenzo(a,h)antracenµg*kg-1",WWA - fenantrenµg*kg-1,WWA - fluorantenµg*kg-1,WWA - fluorenµg*kg-1,"WWA - indeno(1,2,3-cd)pirenµg*kg-1",WWA - naftalenµg*kg-1,WWA - pirenµg*kg-1,WanadV mg*kg-1,Wapń wymianny (Ca2+)cmol(+)*kg-1,Wapń%,Wielopierscieniowe weglowodory aromatyczne suma 13 WWAµg*kg-1,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V)%,Węgiel organiczny%,Węglany (CaCO3)%,Zasoleniemg KCl*100g-1,Żelazo%
1,1995,,,,0.06,18.0,68.0,14.0,22.9,0.2,7.2,28.3,3.2,0.059,1.94,0.69,0.17,1.16,2.22,5.1,8.7,4.7,1.8,0.16,0.08,248.0,3.7,4.2,4.8,3.9,9.5,,,5.0,,,,,,,,,,,6.47,3.9,0.15,0.09,2.23,1.51,432.0,,1.37,0.012,14.5,6.3,1.37,0.06,0.009,,,,,,,,,,,,,,,,10.0,1.0,0.06,353.0,21.17,0.87,,5.7,0.69
1,2000,,,,0.073,21.0,67.0,12.0,26.1,0.2,6.0,28.7,4.8,0.053,0.22,0.58,0.12,1.27,0.4,3.23,7.4,4.4,3.0,0.34,0.08,272.0,4.0,3.8,6.0,4.7,10.8,,,3.0,,,,,,,,,,,5.51,3.2,0.15,0.07,3.2,1.6,317.0,,1.25,0.013,12.7,6.9,2.28,0.1,0.005,,,,,,,,,,,,,,,,10.3,1.69,0.08,397.0,41.38,0.93,,8.2,0.63
1,2005,,,,0.088,16.0,73.0,11.0,25.1,0.13,6.0,27.2,9.1,0.086,0.03,0.67,0.1,1.6,0.12,2.03,6.4,3.2,5.0,0.41,0.07,293.0,4.2,3.3,6.2,5.1,9.3,,,5.0,,,,,,,,,,,4.7,4.7,0.13,0.05,4.3,1.32,415.0,,1.05,0.017,8.7,5.0,2.67,0.15,0.009,,,,,,,,,,,,,,,,12.6,1.98,0.11,186.0,56.81,0.77,,11.4,0.55
1,2010,,,,0.081,4.0,87.0,9.0,13.2,0.13,4.5,28.1,42.6,0.092,,0.28,0.09,1.33,,1.58,4.3,1.9,3.3,0.37,0.05,268.0,4.0,2.6,7.2,6.6,9.4,8.0,91.0,1.0,,,,,,,,,,,6.36,8.4,0.32,0.04,6.4,1.45,409.0,,0.96,0.012,10.4,4.7,4.78,0.07,0.005,,,,,,,,,,,,,,,,8.3,4.01,0.05,202.4,75.14,0.84,0.25,16.9,0.5
1,2015,1.58,5.64,7.11,0.1,3,89,8,13.6,0.15,4.6,17.7,56.4,0.11,,0.28,0.09,1.29,,1.2,4.2,2.0,3.4,0.15,0.07,254,3.7,2.3,7.1,6.8,7.7,7,91,2,"<0,001","<0,001","<0,001",0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",6.94,10.8,0.26,0.02,6.09,1.52,155,0.01,0.83,0.013,8.8,5.4,5.74,0.1,0.003,5.9,15.5,6.1,20.7,30.8,16.6,11.7,19.3,6.5,22.3,35.2,4.0,19.9,3.0,29.6,8.2,5.22,0.33,238.1,82.7,0.88,0.54,16.08,0.44
1,2020,1.72,2.7,32.7,0.08,20,67,13,14.8,"<2,00",5.77,21,39.6,0.028,0.01,0.29,"<0,50",1.45,0.07,1.8,5.33,"<10,00",13.5,1.1,0.05,264,3.64,2.81,6.8,6.5,8.35,17,81,2,,,,,,,,,,,11.2,16.4,0.47,0.05,12.1212121,1.5,331,"<0,100",2.1,0.012,10.88,"<10,00",5.37,"<0,10",0.002,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",34,"<25,0",34,"<25,0",28,8.69,3.8,0.02,88,47.95,0.87,0.04,32,0.29
3,1995,,,,0.05,17.0,76.0,7.0,27.0,0.17,6.2,26.8,13.3,0.071,0.12,0.49,0.13,1.23,0.21,2.63,6.6,4.2,2.6,0.2,0.06,282.0,5.0,3.0,6.0,5.0,12.1,,,3.0,,,,,,,,,,,5.63,3.9,0.15,0.08,3.96,1.53,277.0,,1.0,0.011,17.8,7.3,3.0,0.03,0.008,,,,,,,,,,,,,,,,10.0,2.62,0.1,941.0,53.29,0.89,,10.2,0.53
3,2000,,,,0.061,18.0,72.0,10.0,21.2,0.17,5.5,26.0,12.6,0.068,0.08,0.36,0.14,1.52,0.19,2.63,5.8,2.9,2.5,0.23,0.05,280.0,4.5,2.9,6.4,5.2,13.5,,,2.0,,,,,,,,,,,6.08,5.8,0.2,0.06,5.4,1.54,344.0,,1.25,0.014,14.6,6.2,3.45,0.03,0.006,,,,,,,,,,,,,,,,9.3,2.99,0.09,795.0,56.74,0.89,,13.3,0.48
3,2005,,,,0.078,16.0,75.0,9.0,21.2,0.13,5.2,22.4,12.8,0.066,0.03,0.43,0.12,1.47,0.14,3.08,5.7,3.3,3.2,0.27,0.07,301.0,5.5,3.0,5.8,4.8,15.3,,,2.0,,,,,,,,,,,5.8,10.7,0.29,0.06,3.9,1.61,412.0,,0.83,0.012,11.9,5.2,2.72,0.02,0.005,,,,,,,,,,,,,,,,11.4,2.14,0.1,521.0,46.9,0.93,,10.4,0.54
3,2010,,,,0.085,12.0,81.0,7.0,20.5,0.14,4.9,36.9,11.8,0.071,0.09,0.29,0.14,1.43,0.25,2.7,4.8,2.0,2.8,0.24,0.05,259.0,5.1,3.1,6.4,5.0,15.7,9.0,91.0,0.0,,,,,,,,,,,5.13,6.5,0.17,0.04,5.01,1.55,385.0,,1.0,0.011,10.6,4.2,2.43,0.05,0.004,,,,,,,,,,,,,,,,8.1,1.97,0.07,528.6,47.41,0.9,,13.22,0.51
3,2015,2.11,5.7,"<1,00",0.1,11,82,7,19.9,0.17,4.8,20.2,11.0,0.07,0.28,0.32,0.08,1.38,0.44,3.6,4.5,2.2,1.94,0.18,0.05,205,4.5,2.9,5.2,4.0,11.6,8,90,2,"<0,001","<0,001","<0,001",0.065,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",5.02,7.9,0.19,0.04,2.76,1.31,194,0.05,0.39,0.012,7.6,4.2,1.42,0.02,0.007,7.5,63.4,13.0,70.7,102.0,51.2,35.6,68.5,11.7,35.2,111.1,4.2,55.6,6.1,97.1,7.7,1.02,0.05,713.9,28.26,0.76,,7.29,0.44
3,2020,2.35,33.3,2.2,0.14,30,61,9,22.9,"<2,00",6.49,29.7,17.2,0.007,0.03,0.15,"<0,50",1.6,0.14,3.5,6.32,"<10,00",5.5,0.48,0.02,252,16.7,2.95,6.7,5.9,33.3,21,75,4,,,,,,,,,,,13.5,9.8,0.35,0.03,"<1,00",3.26,283,"<0,100",3.9,0.018,13.5,"<10,00",3.33,"<0,10",0.002,"<25,0",96,113,116,"<25,0",111,97,114,37,84,206,"<25,0",153,"<25,0",164,9.01,2.5,0.02,1178,24.67,1.89,0.04,"<10,00",0.18
5,1995,,,,0.08,35.0,29.0,36.0,44.7,0.43,16.2,41.7,9.5,0.081,0.14,1.43,0.19,2.92,0.32,2.92,13.6,10.7,4.2,0.41,0.25,505.0,11.3,10.2,6.2,5.1,16.3,,,13.0,,,,,,,,,,,9.54,16.1,0.45,0.23,7.14,1.88,669.0,,1.0,0.015,13.6,11.2,6.62,0.02,0.009,,,,,,,,,,,,,,,,35.0,5.74,0.18,579.0,69.39,1.09,,18.4,1.39
5,2000,,,,0.09,31.0,33.0,36.0,42.7,0.47,14.7,41.7,7.1,0.088,0.1,1.29,0.2,2.64,0.26,2.93,14.1,11.6,5.2,0.54,0.26,485.0,11.2,12.5,6.3,4.9,20.7,,,10.0,,,,,,,,,,,9.93,15.5,0.44,0.22,8.0,1.88,726.0,,1.3,0.014,12.1,10.4,7.0,0.03,0.008,,,,,,,,,,,,,,,,38.7,5.99,0.17,386.0,70.49,1.09,,21.1,1.55
5,2005,,,,0.073,35.0,30.0,35.0,38.9,0.36,13.5,48.6,8.1,0.076,0.17,1.31,0.22,2.85,0.28,3.53,11.4,9.6,5.3,0.48,0.23,450.0,11.3,9.6,5.9,4.6,19.3,,,9.0,,,,,,,,,,,9.55,21.4,0.51,0.25,5.9,1.67,831.0,,0.88,0.017,13.3,9.2,6.02,0.04,0.009,,,,,,,,,,,,,,,,36.4,4.99,0.16,268.0,63.04,0.97,,15.5,1.31
