point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
1,1995,68.0,18.0,14.0,,,5.0
1,2000,67.0,21.0,12.0,,,3.0
1,2005,73.0,16.0,11.0,,,5.0
1,2010,87.0,4.0,9.0,8.0,91.0,1.0
1,2015,89.0,3.0,8.0,7.0,91.0,2.0
1,2020,67.0,20.0,13.0,17.0,81.0,2.0
3,1995,76.0,17.0,7.0,,,3.0
3,2000,72.0,18.0,10.0,,,2.0
3,2005,75.0,16.0,9.0,,,2.0
3,2010,81.0,12.0,7.0,9.0,91.0,0.0
3,2015,82.0,11.0,7.0,8.0,90.0,2.0
3,2020,61.0,30.0,9.0,21.0,75.0,4.0
5,1995,29.0,35.0,36.0,,,13.0
5,2000,33.0,31.0,36.0,,,10.0
5,2005,30.0,35.0,35.0,,,9.0
5,2010,34.0,33.0,33.0,48.0,48.0,4.0
5,2015,32.0,35.0,33.0,49.0,45.0,6.0
5,2020,45.0,31.0,24.0,34.0,56.0,10.0
7,1995,54.0,25.0,21.0,,,9.0
7,2000,54.0,22.0,24.0,,,9.0
7,2005,49.0,25.0,26.0,,,8.0
7,2010,41.0,30.0,29.0,36.0,60.0,4.0
7,2015,40.0,29.0,31.0,35.0,57.0,8.0
7,2020,38.0,35.0,27.0,44.0,48.0,8.0
9,1995,84.0,8.0,8.0,,,3.0
9,2000,82.0,10.0,8.0,,,1.0
9,2005,80.0,10.0,10.0,,,1.0
9,2010,72.0,18.0,10.0,15.0,83.0,2.0
9,2015,75.0,17.0,8.0,15.0,84.0,1.0
9,2020,65.0,24.0,11.0,18.0,79.0,3.0
13,1995,49.0,25.0,26.0,,,9.0
13,2000,51.0,25.0,24.0,,,6.0
13,2005,47.0,28.0,25.0,,,6.0
13,2010,46.0,31.0,23.0,31.0,65.0,4.0
13,2015,49.0,29.0,22.0,32.0,64.0,4.0
13,2020,51.0,34.0,15.0,33.0,63.0,4.0
15,1995,61.0,19.0,20.0,,,9.0
15,2000,63.0,19.0,18.0,,,6.0
15,2005,63.0,16.0,21.0,,,6.0
15,2010,64.0,19.0,17.0,19.0,76.0,5.0
15,2015,61.0,20.0,19.0,24.0,72.0,4.0
15,2020,65.0,20.0,15.0,17.0,79.0,4.0
17,1995,61.0,24.0,15.0,,,2.0
17,2000,62.0,25.0,13.0,,,2.0
17,2005,60.0,24.0,16.0,,,2.0
17,2010,62.0,24.0,14.0,19.0,78.0,3.0
17,2015,59.0,27.0,14.0,21.0,77.0,2.0
17,2020,45.0,40.0,15.0,39.0,57.0,4.0
21,1995,36.0,35.0,29.0,,,8.0
21,2000,35.0,37.0,28.0,,,10.0
21,2005,31.0,36.0,33.0,,,9.0
21,2010,33.0,39.0,28.0,43.0,49.0,8.0
21,2015,34.0,43.0,23.0,43.0,53.0,4.0
21,2020,44.0,35.0,21.0,41.0,55.0,4.0
23,1995,42.0,34.0,24.0,,,9.0
23,2000,42.0,34.0,24.0,,,9.0
23,2005,40.0,34.0,26.0,,,7.0
23,2010,36.0,39.0,25.0,36.0,55.0,9.0
23,2015,37.0,40.0,23.0,39.0,56.0,5.0
23,2020,61.0,24.0,15.0,21.0,75.0,4.0
25,1995,22.0,28.0,50.0,,,18.0
25,2000,25.0,28.0,47.0,,,19.0
25,2005,22.0,32.0,46.0,,,14.0
25,2010,26.0,36.0,38.0,50.0,39.0,11.0
25,2015,31.0,39.0,30.0,47.0,47.0,6.0
25,2020,40.0,37.0,23.0,47.0,50.0,3.0
27,1995,40.0,33.0,27.0,,,8.0
27,2000,42.0,28.0,30.0,,,10.0
