point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
1,1995,432.0,2.23,5.7
1,2000,317.0,3.2,8.2
1,2005,415.0,4.3,11.4
1,2010,409.0,6.4,16.9
1,2015,155.0,6.09,16.08
1,2020,331.0,12.1212121,32.0
3,1995,277.0,3.96,10.2
3,2000,344.0,5.4,13.3
3,2005,412.0,3.9,10.4
3,2010,385.0,5.01,13.22
3,2015,194.0,2.76,7.29
3,2020,283,"<1,00","<10,00"
5,1995,669.0,7.14,18.4
5,2000,726.0,8.0,21.1
5,2005,831.0,5.9,15.5
5,2010,700.0,6.93,18.3
5,2015,619.0,6.72,17.74
5,2020,736,"<1,00","<10,00"
7,1995,525.0,18.49,47.6
7,2000,649.0,14.5,38.3
7,2005,636.0,11.5,30.4
7,2010,623.0,6.06,15.99
7,2015,827.0,5.63,14.86
7,2020,569.0,10.61,28.0
9,1995,465.0,8.86,22.8
9,2000,352.0,7.0,18.5
9,2005,338.0,5.5,14.4
9,2010,336.0,7.5,19.81
9,2015,635.0,3.46,9.13
9,2020,334.0,6.43939393,17.0
13,1995,554.0,5.09,13.1
13,2000,481.0,6.7,17.1
13,2005,551.0,7.5,19.8
13,2010,586.0,4.68,12.34
13,2015,761.0,6.99,18.45
13,2020,594.0,13.2575757,35.0
15,1995,519.0,3.44,8.9
15,2000,567.0,5.1,13.5
15,2005,486.0,5.0,13.2
15,2010,489.0,5.99,15.81
15,2015,736.0,3.65,9.64
15,2020,488.0,16.2878787,43.0
17,1995,431.0,9.29,23.9
17,2000,416.0,11.1,29.3
17,2005,429.0,7.7,20.3
17,2010,392.0,5.06,13.36
17,2015,205.0,3.73,9.85
17,2020,485.0,11.7424242,31.0
21,1995,523.0,6.71,17.3
21,2000,625.0,8.4,22.2
21,2005,579.0,13.6,36.0
21,2010,478.0,12.22,32.27
21,2015,841.0,8.87,23.42
21,2020,588.0,11.7424242,31.0
23,1995,527.0,6.88,17.7
23,2000,467.0,8.9,23.0
23,2005,559.0,6.4,17.0
23,2010,515.0,7.92,20.92
23,2015,518.0,10.04,26.51
23,2020,500.0,15.530303,41.0
25,1995,740.0,7.4,19.0
25,2000,641.0,9.8,25.9
25,2005,655.0,7.7,20.3
25,2010,548.0,7.39,19.51
25,2015,766.0,5.04,13.31
25,2020,687.0,7.57575757,20.0
27,1995,638.0,7.31,18.8
27,2000,637.0,5.8,15.3
27,2005,666.0,7.4,19.5
27,2010,608.0,4.72,12.46
27,2015,923.0,5.64,14.89
27,2020,643.0,17.4242424,46.0
29,1995,873.0,3.18,8.2
29,2000,835.0,3.5,9.2
29,2005,872.0,6.0,16.0
29,2010,820.0,5.06,13.37
29,2015,631.0,8.18,21.6
29,2020,381.0,14.0151515,37.0
31,1995,576.0,2.67,6.9
31,2000,439.0,3.1,8.2
31,2005,537.0,3.7,9.9
31,2010,743.0,3.06,8.09
31,2015,458.0,3.63,9.58
31,2020,514.0,10.9848484,29.0
33,1995,1078.0,14.62,37.6
33,2000,971.0,13.7,35.6
33,2005,982.0,13.0,34.2
33,2010,908.0,14.43,38.1
33,2015,645.0,7.77,20.51
33,2020,873.0,19.6969696,52.0
35,1995,695.0,14.62,37.6
35,2000,654.0,11.6,30.6
35,2005,719.0,12.8,33.7
35,2010,691.0,16.86,44.51
35,2015,448.0,9.68,25.56
35,2020,592.0,17.0454545,45.0
37,1995,744.0,4.13,10.6
37,2000,626.0,6.5,17.2
37,2005,741.0,5.3,13.9
37,2010,754.0,7.2,19.0
37,2015,711.0,6.23,16.45
37,2020,747.0,14.7727272,39.0
39,1995,431.0,3.01,7.7
39,2000,490.0,2.6,6.8
39,2005,417.0,6.9,18.2
39,2010,440.0,6.28,16.57
39,2015,857.0,4.18,11.04
39,2020,645.0,4.92424242,13.0
41,1995,410.0,20.73,53.4
41,2000,512.0,24.2,63.9
41,2005,494.0,20.8,55.0
41,2010,533.0,17.97,47.44
41,2015,624.0,12.47,32.92
41,2020,399.0,12.8787878,34.0
43,1995,600.0,19.78,50.9
43,2000,602.0,23.2,61.2
43,2005,554.0,24.0,63.4
43,2010,725.0,15.84,41.83
43,2015,607.0,14.24,37.59
43,2020,552.0,5.3030303,14.0
45,1995,609.0,3.18,8.2
45,2000,505.0,3.6,10.1
45,2005,524.0,6.2,16.5
45,2010,628.0,9.19,24.25
45,2015,872.0,11.06,29.2
45,2020,443.0,14.0151515,37.0
47,1995,470.0,10.75,28.4
47,2000,408.0,12.1,31.9
47,2005,511.0,12.0,37.9
47,2010,506.0,4.19,11.07
47,2015,935.0,2.96,7.81
47,2020,391,3.41,"<10,00"
49,1995,455.0,2.59,6.8
49,2000,346.0,2.3,5.7
49,2005,383.0,5.3,13.9
49,2010,493.0,6.34,16.73
49,2015,188.0,6.97,18.4
49,2020,401.0,15.530303,41.0
51,1995,497.0,14.79,38.1
51,2000,457.0,15.5,40.9
51,2005,508.0,12.8,33.9
51,2010,405.0,6.78,17.9
51,2015,671.0,8.06,21.28
51,2020,583.0,21.9696969,58.0
53,1995,156.0,5.65,14.5
53,2000,205.0,6.3,16.6
53,2005,237.0,4.4,11.5
53,2010,268.0,3.5,9.25
53,2015,250.0,6.21,16.39
53,2020,271,3.41,"<10,00"
55,1995,1013.0,9.98,25.7
55,2000,896.0,9.3,23.9
55,2005,852.0,12.0,31.7
55,2010,945.0,13.55,35.76
55,2015,1101.0,22.13,58.42
55,2020,1030.0,7.57575757,20.0
57,1995,827.0,8.77,22.6
57,2000,824.0,10.4,27.5
57,2005,762.0,10.3,27.1
57,2010,846.0,10.29,27.15
57,2015,984.0,13.11,34.61
57,2020,585.0,10.6060606,28.0
59,1995,340.0,4.96,12.8
59,2000,321.0,3.1,8.2
59,2005,288.0,4.2,11.0
59,2010,315.0,3.72,9.81
59,2015,633.0,7.45,19.67
59,2020,243,"<1,00","<10,00"
61,1995,459.0,7.83,20.2
61,2000,529.0,7.5,19.8
61,2005,477.0,12.4,32.6
61,2010,393.0,6.54,17.26
61,2015,680.0,12.89,34.03
61,2020,322.0,11.7424242,31.0
63,1995,402.0,8.09,20.8
63,2000,465.0,13.0,34.3
63,2005,363.0,13.8,36.4
63,2010,396.0,11.83,31.24
63,2015,514.0,13.19,34.82
63,2020,389.0,7.57575757,20.0
65,1995,564.0,17.62,45.4
65,2000,624.0,13.0,34.3
65,2005,522.0,12.0,30.9
65,2010,601.0,5.47,14.44
65,2015,916.0,6.56,17.32
65,2020,541.0,33.7121212,89.0
69,1995,303.0,7.83,20.2
69,2000,368.0,6.3,16.6
69,2005,373.0,6.7,17.6
69,2010,448.0,7.16,18.91
