point_id,year,organochlorine_pesticides_DDT/DDE/DDD [mg*kg-1],organochlorine_pesticides_aldrin [mg*kg-1],organochlorine_pesticides_alfa-HCH [mg*kg-1],organochlorine_pesticides_beta-HCH [mg*kg-1],organochlorine_pesticides_dieldrin [mg*kg-1],organochlorine_pesticides_endrin [mg*kg-1],organochlorine_pesticides_gamma-HCH [mg*kg-1],pesticides_non_chlorinated_compounds_atrazin [mg*kg-1],pesticides_non_chlorinated_compounds_carbaryl [mg*kg-1],pesticides_non_chlorinated_compounds_carbofuran [mg*kg-1]
1,2015,0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
3,2015,0.065,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
5,2015,0.021,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
7,2015,0.024,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
9,2015,0.023,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
13,2015,0.006,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
15,2015,0.049,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
17,2015,0.012,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
21,2015,0.029,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
23,2015,0.003,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
25,2015,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
27,2015,0.011,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001","<0,001"
29,2015,0.022,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
31,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
33,2015,0.002,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001",0.003,"<0,001","<0,001"
35,2015,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
37,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
39,2015,0.05,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
41,2015,0.075,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
43,2015,0.004,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
45,2015,0.005,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
47,2015,0.095,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
49,2015,0.035,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
51,2015,0.062,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
53,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
55,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
57,2015,0.015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
59,2015,0.027,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
61,2015,0.075,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
63,2015,0.006,"<0,001","<0,001",0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
65,2015,0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
69,2015,0.075,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
71,2015,0.007,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
73,2015,0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
75,2015,0.03,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
77,2015,0.046,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
79,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
81,2015,0.059,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
83,2015,0.027,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
85,2015,0.035,"<0,001",0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
87,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
89,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
91,2015,0.026,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
93,2015,0.024,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
95,2015,0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
97,2015,0.008,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
99,2015,0.042,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
101,2015,0.014,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
103,2015,0.083,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
105,2015,0.087,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
107,2015,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
111,2015,0.018,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
113,2015,0.025,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
115,2015,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
117,2015,0.013,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
119,2015,0.115,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
121,2015,0.015,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
123,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
125,2015,0.03,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
127,2015,0.041,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
129,2015,0.005,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
131,2015,0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
133,2015,0.031,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
135,2015,0.027,0.01,0.002,0.002,"<0,001","<0,001",0.002,"<0,001","<0,001","<0,001"
