point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
1,1995,,4.8,3.9
1,2000,,6.0,4.7
1,2005,,6.2,5.1
1,2010,0.25,7.2,6.6
1,2015,0.54,7.1,6.8
1,2020,0.04,6.8,6.5
3,1995,,6.0,5.0
3,2000,,6.4,5.2
3,2005,,5.8,4.8
3,2010,,6.4,5.0
3,2015,,5.2,4.0
3,2020,0.04,6.7,5.9
5,1995,,6.2,5.1
5,2000,,6.3,4.9
5,2005,,5.9,4.6
5,2010,,6.3,5.1
5,2015,,5.3,4.3
5,2020,0.22,6.7,5.7
7,1995,0.21,7.2,6.3
7,2000,0.12,7.3,6.1
7,2005,,6.8,6.0
7,2010,,6.3,5.5
7,2015,,6.1,5.2
7,2020,0.02,6.1,5.2
9,1995,,6.2,5.5
9,2000,,6.3,5.1
9,2005,,6.2,5.0
9,2010,0.08,7.2,6.5
9,2015,0.17,7.0,6.5
9,2020,0.03,6.8,6.0
13,1995,,5.7,4.8
13,2000,,6.0,4.7
13,2005,,5.5,4.6
13,2010,,6.3,4.9
13,2015,,5.0,4.0
13,2020,0.04,6.8,6.5
15,1995,,5.5,4.3
15,2000,,6.0,4.6
15,2005,,5.6,4.3
15,2010,,5.8,4.3
15,2015,,4.9,3.6
15,2020,"<0,01",4.6,4.3
17,1995,,7.2,6.2
17,2000,,7.2,6.3
17,2005,,6.9,6.0
17,2010,,7.1,6.3
17,2015,0.12,6.8,5.9
17,2020,0.04,7.5,7.3
21,1995,,6.6,5.6
21,2000,,7.0,5.8
21,2005,,6.7,5.9
21,2010,,7.8,6.9
21,2015,0.17,7.2,6.4
21,2020,0.07,7.3,7.1
23,1995,,6.9,6.1
23,2000,,7.1,6.2
23,2005,,6.6,5.7
23,2010,0.04,7.3,6.2
23,2015,0.1,6.9,6.4
23,2020,0.03,6.2,5.9
25,1995,,6.3,5.3
25,2000,,6.0,5.1
25,2005,,5.8,4.8
25,2010,,6.6,5.2
25,2015,,5.5,4.5
25,2020,"<0,01",5,4.1
27,1995,,6.9,6.0
27,2000,,6.5,5.6
27,2005,,6.6,5.8
27,2010,,6.1,4.6
27,2015,,4.7,3.6
27,2020,0.03,6.6,6.1
29,1995,,4.9,3.6
29,2000,,5.0,3.8
29,2005,,4.3,3.5
29,2010,,5.7,4.2
29,2015,,4.6,3.6
29,2020,0.02,5.7,4.9
31,1995,,5.4,4.0
31,2000,,6.0,4.6
31,2005,,5.6,4.4
31,2010,,6.1,4.3
31,2015,,5.8,4.9
31,2020,0.02,6.8,6.2
33,1995,,7.1,5.8
33,2000,,6.7,5.6
33,2005,,6.5,5.5
33,2010,3.48,8.2,7.2
33,2015,,6.7,5.9
33,2020,5.0,7.8,7.3
35,1995,3.54,7.2,6.4
35,2000,4.29,7.4,6.5
35,2005,3.15,7.2,6.0
35,2010,10.81,8.1,7.5
35,2015,4.59,7.3,7.0
35,2020,0.85,7.5,7.1
37,1995,,6.1,4.8
37,2000,,6.3,5.0
37,2005,,6.0,4.8
37,2010,,5.7,4.7
37,2015,,5.7,4.8
37,2020,0.03,7.2,6.7
39,1995,,5.4,4.3
39,2000,,5.8,4.6
39,2005,,5.9,4.9
39,2010,,6.0,5.0
39,2015,,5.1,4.1
39,2020,0.1,7.4,6.9
41,1995,4.55,7.4,6.7
41,2000,4.86,7.8,6.8
41,2005,4.36,7.4,6.5
41,2010,3.06,8.2,7.4
41,2015,3.9,7.5,6.8
41,2020,0.35,7.6,7.4
43,1995,1.01,7.7,7.2
43,2000,1.28,7.9,7.3
43,2005,0.84,7.4,6.9
43,2010,4.23,8.4,7.7
43,2015,3.3,7.7,7.4
43,2020,0.19,7.9,7.6
45,1995,,5.1,4.0
45,2000,,5.3,4.2
45,2005,,5.1,4.0
45,2010,0.16,6.3,5.9
45,2015,,6.7,6.2
45,2020,0.03,7.0,6.5
47,1995,0.04,7.4,6.8
47,2000,,7.4,6.6
47,2005,,6.8,6.3
47,2010,,5.8,4.6
47,2015,,5.0,3.9
47,2020,0.02,5.4,4.5
49,1995,,6.0,4.4
49,2000,,5.8,4.6
49,2005,,5.4,4.2
49,2010,,6.3,5.0
49,2015,,4.8,3.9
49,2020,0.02,5.6,4.9
51,1995,,6.8,6.1
51,2000,,7.2,6.4
51,2005,,6.7,6.1
51,2010,,6.2,5.3
51,2015,,6.3,5.9
51,2020,0.2,6.8,6.9
53,1995,,7.1,6.0
53,2000,0.37,7.0,6.1
53,2005,,6.9,6.0
53,2010,,5.4,4.5
53,2015,,3.7,3.2
53,2020,0.02,5.4,4.7
55,1995,,6.8,5.7
55,2000,,7.0,5.7
55,2005,,6.5,5.3
55,2010,0.04,7.2,6.1
55,2015,0.29,7.1,6.3
55,2020,0.47,7.9,7.1
57,1995,0.21,7.1,6.0
57,2000,0.21,7.4,6.3
57,2005,0.24,7.5,6.3
57,2010,0.58,8.0,6.9
57,2015,0.74,7.7,7.0
57,2020,0.05,7.8,6.9
59,1995,,5.3,4.0
59,2000,,5.4,4.2
59,2005,,5.2,4.0
59,2010,,5.1,4.3
