point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
1,1995,14.5,1.51,0.87,0.06
1,2000,12.7,1.6,0.93,0.073
1,2005,8.7,1.32,0.77,0.088
1,2010,10.4,1.45,0.84,0.081
1,2015,8.8,1.52,0.88,0.1
1,2020,10.88,1.5,0.87,0.08
3,1995,17.8,1.53,0.89,0.05
3,2000,14.6,1.54,0.89,0.061
3,2005,11.9,1.61,0.93,0.078
3,2010,10.6,1.55,0.9,0.085
3,2015,7.6,1.31,0.76,0.1
3,2020,13.5,3.26,1.89,0.14
5,1995,13.6,1.88,1.09,0.08
5,2000,12.1,1.88,1.09,0.09
5,2005,13.3,1.67,0.97,0.073
5,2010,9.8,1.83,1.06,0.108
5,2015,9.2,2.23,1.29,0.14
5,2020,18.18,3.45,2.0,0.11
7,1995,14.2,1.46,0.85,0.06
7,2000,12.8,1.33,0.77,0.06
7,2005,11.6,1.39,0.81,0.07
7,2010,11.3,1.9,1.1,0.097
7,2015,8.8,1.98,1.15,0.13
7,2020,24.08,4.99,2.89,0.12
9,1995,10.2,2.3,1.33,0.13
9,2000,10.2,2.46,1.43,0.14
9,2005,12.0,2.49,1.44,0.12
9,2010,12.3,2.96,1.72,0.14
9,2015,12.9,2.89,1.68,0.13
9,2020,21.54,4.82,2.8,0.13
13,1995,15.6,2.12,1.23,0.079
13,2000,17.5,2.09,1.21,0.069
13,2005,13.9,1.92,1.11,0.08
13,2010,8.8,1.9,1.1,0.125
13,2015,8.5,2.04,1.18,0.14
13,2020,16.67,3.89,2.25,0.135
15,1995,13.2,2.23,1.29,0.098
15,2000,12.8,1.98,1.15,0.09
15,2005,11.5,1.74,1.01,0.088
15,2010,9.7,2.09,1.21,0.125
15,2015,9.9,2.22,1.29,0.13
15,2020,3.2,0.98,0.57,0.178
17,1995,12.5,1.88,1.09,0.087
17,2000,12.9,1.99,1.15,0.089
17,2005,12.0,1.89,1.1,0.092
17,2010,10.9,1.93,1.12,0.103
17,2015,8.7,1.95,1.13,0.13
17,2020,24.4,4.58,2.66,0.109
21,1995,9.1,1.84,1.07,0.117
21,2000,8.8,2.01,1.16,0.132
21,2005,10.3,2.06,1.19,0.116
21,2010,9.5,2.52,1.46,0.154
21,2015,8.2,2.41,1.4,0.17
21,2020,15.61,4.84,2.81,0.18
23,1995,8.2,1.46,0.85,0.104
23,2000,9.0,1.66,0.96,0.106
23,2005,9.3,1.47,0.85,0.091
23,2010,9.3,1.69,0.98,0.105
23,2015,8.4,1.59,0.92,0.11
23,2020,12.4,3.21,1.86,0.15
25,1995,9.3,4.25,2.46,0.263
25,2000,8.6,4.15,2.41,0.28
25,2005,9.5,4.53,2.63,0.276
25,2010,8.9,3.9,2.26,0.254
25,2015,8.7,4.03,2.34,0.27
25,2020,32.6,2.81,1.63,0.05
27,1995,8.8,2.03,1.16,0.132
27,2000,7.8,1.88,1.09,0.14
27,2005,10.2,2.18,1.26,0.123
27,2010,10.1,2.83,1.64,0.162
27,2015,8.2,2.39,1.39,0.17
27,2020,11.21,3.67,2.13,0.19
29,1995,10.1,2.79,1.62,0.16
29,2000,10.5,3.14,1.82,0.173
29,2005,13.0,2.87,1.66,0.128
29,2010,9.3,2.62,1.52,0.163
29,2015,7.8,2.41,1.4,0.18
29,2020,11.33,1.76,1.02,0.09
