point_id,year,Al [cmol(+)*kg-1],Ca2+ [cmol(+)*kg-1],Hh [cmol(+)*kg-1],Hw [cmol(+)*kg-1],K+ [cmol(+)*kg-1],Mg2+ [cmol(+)*kg-1],Na+ [cmol(+)*kg-1],S [cmol(+)*kg-1],T [cmol(+)*kg-1],V [%]
1,1995,1.94,1.0,5.1,2.22,0.15,0.16,0.06,1.37,6.47,21.17
1,2000,0.22,1.69,3.23,0.4,0.15,0.34,0.1,2.28,5.51,41.38
1,2005,0.03,1.98,2.03,0.12,0.13,0.41,0.15,2.67,4.7,56.81
1,2010,,4.01,1.58,,0.32,0.37,0.07,4.78,6.36,75.14
1,2015,,5.22,1.2,,0.26,0.15,0.1,5.74,6.94,82.7
1,2020,0.01,3.8,1.8,0.07,0.47,1.1,"<0,10",5.37,11.2,47.95
3,1995,0.12,2.62,2.63,0.21,0.15,0.2,0.03,3.0,5.63,53.29
3,2000,0.08,2.99,2.63,0.19,0.2,0.23,0.03,3.45,6.08,56.74
3,2005,0.03,2.14,3.08,0.14,0.29,0.27,0.02,2.72,5.8,46.9
3,2010,0.09,1.97,2.7,0.25,0.17,0.24,0.05,2.43,5.13,47.41
3,2015,0.28,1.02,3.6,0.44,0.19,0.18,0.02,1.42,5.02,28.26
3,2020,0.03,2.5,3.5,0.14,0.35,0.48,"<0,10",3.33,13.5,24.67
5,1995,0.14,5.74,2.92,0.32,0.45,0.41,0.02,6.62,9.54,69.39
5,2000,0.1,5.99,2.93,0.26,0.44,0.54,0.03,7.0,9.93,70.49
5,2005,0.17,4.99,3.53,0.28,0.51,0.48,0.04,6.02,9.55,63.04
5,2010,0.09,4.3,3.45,0.32,0.64,0.37,0.09,5.4,8.85,61.03
5,2015,0.17,3.07,4.35,0.4,0.74,0.59,0.05,4.45,8.8,50.59
5,2020,"<0,0022",4.6,2.6,0.1,0.37,1.02,"<0,10",5.99,10.4,57.6
7,1995,,9.78,1.35,,0.66,0.51,0.13,11.08,12.43,89.14
7,2000,,9.18,1.28,,0.52,0.6,0.1,10.4,11.68,89.04
7,2005,,8.59,1.95,,0.57,0.61,0.03,9.8,11.75,83.4
7,2010,,4.61,3.15,,0.28,0.51,0.18,5.58,8.73,63.9
7,2015,0.06,5.14,2.18,0.18,0.51,0.18,0.04,5.87,8.05,72.93
7,2020,0.01,6.6,2.7,0.12,0.28,0.43,"<0,10",7.31,9.9,73.84
9,1995,,5.49,2.4,,0.28,1.4,0.06,7.23,9.63,75.08
9,2000,,4.72,2.6,,0.36,1.48,0.03,6.59,9.19,71.71
9,2005,,5.63,2.73,,0.4,1.37,0.04,7.44,10.17,73.16
9,2010,,3.04,2.4,,0.5,0.12,0.06,3.72,6.12,60.78
9,2015,,5.94,1.88,,0.14,0.2,0.03,6.31,8.19,77.03
9,2020,"<0,0022",5.6,2.1,0.05,0.1,0.25,"<0,10",5.95,8.8,67.61
13,1995,0.1,5.49,3.75,0.35,0.25,0.53,0.06,6.33,10.08,62.8
13,2000,0.12,5.99,3.9,0.28,0.36,0.57,0.1,7.02,10.92,64.29
13,2005,0.18,5.72,3.98,0.32,0.33,0.59,0.05,6.69,10.67,62.7
