point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
1,1995,0.69,0.06,0.69,0.09,0.08,0.009,0.059,0.012
1,2000,0.58,0.08,0.63,0.07,0.08,0.005,0.053,0.013
1,2005,0.67,0.11,0.55,0.05,0.07,0.009,0.086,0.017
1,2010,0.28,0.05,0.5,0.04,0.05,0.005,0.092,0.012
1,2015,0.28,0.33,0.44,0.02,0.07,0.003,0.11,0.013
1,2020,0.29,0.02,0.29,0.05,0.05,0.002,0.028,0.012
3,1995,0.49,0.1,0.53,0.08,0.06,0.008,0.071,0.011
3,2000,0.36,0.09,0.48,0.06,0.05,0.006,0.068,0.014
3,2005,0.43,0.1,0.54,0.06,0.07,0.005,0.066,0.012
3,2010,0.29,0.07,0.51,0.04,0.05,0.004,0.071,0.011
3,2015,0.32,0.05,0.44,0.04,0.05,0.007,0.07,0.012
3,2020,0.15,0.02,0.18,0.03,0.02,0.002,0.007,0.018
5,1995,1.43,0.18,1.39,0.23,0.25,0.009,0.081,0.015
5,2000,1.29,0.17,1.55,0.22,0.26,0.008,0.088,0.014
5,2005,1.31,0.16,1.31,0.25,0.23,0.009,0.076,0.017
5,2010,0.85,0.18,1.4,0.15,0.19,0.004,0.076,0.016
5,2015,0.73,0.12,1.09,0.1,0.18,0.003,0.07,0.02
5,2020,1.14,0.21,1.35,0.18,0.21,0.005,0.057,0.011
7,1995,1.0,0.29,1.05,0.16,0.18,0.006,0.039,0.02
7,2000,1.18,0.24,1.33,0.23,0.22,0.008,0.034,0.018
7,2005,0.98,0.2,1.34,0.19,0.2,0.007,0.037,0.019
7,2010,0.62,0.13,1.13,0.07,0.13,0.001,0.033,0.014
7,2015,0.72,0.15,0.98,0.07,0.14,0.004,0.03,0.017
7,2020,0.49,0.25,0.6,0.17,0.14,0.004,0.077,0.015
9,1995,0.67,0.32,0.69,0.07,0.15,0.009,0.163,0.045
9,2000,0.57,0.26,0.63,0.05,0.12,0.005,0.183,0.038
9,2005,0.58,0.27,0.7,0.06,0.1,0.01,0.141,0.031
9,2010,0.52,0.21,0.71,0.05,0.05,0.004,0.1,0.03
9,2015,0.4,0.18,0.62,0.02,0.04,0.004,0.09,0.023
9,2020,0.45,0.09,0.43,0.04,0.06,0.002,0.034,0.013
13,1995,1.18,0.16,1.27,0.19,0.19,0.008,0.032,0.017
13,2000,0.99,0.15,1.24,0.16,0.17,0.007,0.04,0.021
13,2005,0.88,0.15,1.1,0.2,0.17,0.009,0.058,0.022
13,2010,0.66,0.14,1.24,0.13,0.15,0.004,0.064,0.019
13,2015,0.48,0.09,0.93,0.09,0.11,0.005,0.06,0.017
13,2020,1.16,0.19,1.56,0.16,0.26,0.01,0.021,0.021
15,1995,0.89,0.11,0.96,0.14,0.17,0.007,0.049,0.014
15,2000,0.82,0.13,1.14,0.18,0.21,0.008,0.046,0.014
15,2005,0.67,0.1,1.0,0.15,0.13,0.008,0.05,0.02
15,2010,0.64,0.09,1.1,0.13,0.14,0.006,0.05,0.019
15,2015,0.44,0.08,0.88,0.07,0.13,0.002,0.05,0.017
15,2020,0.5,0.15,0.54,0.07,0.1,0.004,0.029,0.014
17,1995,0.63,0.32,0.79,0.12,0.11,0.007,0.067,0.012
17,2000,0.56,0.29,0.82,0.11,0.1,0.006,0.08,0.016
17,2005,0.5,0.21,0.78,0.11,0.06,0.008,0.077,0.02
17,2010,0.37,0.15,0.8,0.09,0.07,0.005,0.073,0.016
17,2015,0.38,0.16,0.73,0.1,0.08,0.006,0.07,0.016
17,2020,0.71,3.5,0.77,0.14,0.17,0.008,0.028,0.02
21,1995,1.34,0.32,1.8,0.2,0.25,0.013,0.07,0.016
21,2000,1.17,0.33,2.0,0.18,0.24,0.01,0.08,0.017
