point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
1,1995,,22.9,0.2,0.17,1.16,7.2,3.7,,8.7,4.7,248,4.2,9.5,6.3,10.0,28.3
1,2000,,26.1,0.2,0.12,1.27,6.0,4.0,,7.4,4.4,272,3.8,10.8,6.9,10.3,28.7
1,2005,,25.1,0.13,0.1,1.6,6.0,4.2,,6.4,3.2,293,3.3,9.3,5.0,12.6,27.2
1,2010,,13.2,0.13,0.09,1.33,4.5,4.0,,4.3,1.9,268,2.6,9.4,4.7,8.3,28.1
1,2015,1.58,13.6,0.15,0.09,1.29,4.6,3.7,0.01,4.2,2.0,254.0,2.3,7.7,5.4,8.2,17.7
1,2020,1.72,14.8,"<2,00","<0,50",1.45,5.77,3.64,"<0,100",5.33,"<10,00",264,2.81,8.35,"<10,00",8.69,21
3,1995,,27.0,0.17,0.13,1.23,6.2,5.0,,6.6,4.2,282,3.0,12.1,7.3,10.0,26.8
3,2000,,21.2,0.17,0.14,1.52,5.5,4.5,,5.8,2.9,280,2.9,13.5,6.2,9.3,26.0
3,2005,,21.2,0.13,0.12,1.47,5.2,5.5,,5.7,3.3,301,3.0,15.3,5.2,11.4,22.4
3,2010,,20.5,0.14,0.14,1.43,4.9,5.1,,4.8,2.0,259,3.1,15.7,4.2,8.1,36.9
3,2015,2.11,19.9,0.17,0.08,1.38,4.8,4.5,0.05,4.5,2.2,205.0,2.9,11.6,4.2,7.7,20.2
3,2020,2.35,22.9,"<2,00","<0,50",1.6,6.49,16.7,"<0,100",6.32,"<10,00",252,2.95,33.3,"<10,00",9.01,29.7
5,1995,,44.7,0.43,0.19,2.92,16.2,11.3,,13.6,10.7,505,10.2,16.3,11.2,35.0,41.7
5,2000,,42.7,0.47,0.2,2.64,14.7,11.2,,14.1,11.6,485,12.5,20.7,10.4,38.7,41.7
5,2005,,38.9,0.36,0.22,2.85,13.5,11.3,,11.4,9.6,450,9.6,19.3,9.2,36.4,48.6
5,2010,,38.2,0.36,0.15,5.14,14.8,11.2,,11.5,7.2,414,10.7,20.5,7.3,20.2,52.0
5,2015,4.06,34.5,0.27,0.14,4.78,13.4,10.3,0.07,8.7,4.6,355.0,9.0,19.3,5.6,18.8,33.8
5,2020,5.17,42.3,"<2,00","<0,50",6.38,19.3,8.62,"<0,100",15.6,11.4,399,12.1,17.6,"<10,00",24.6,41.9
7,1995,,30.3,0.33,0.17,1.43,12.2,6.3,,9.0,8.3,318,8.3,8.8,9.6,21.7,33.3
7,2000,,33.3,0.47,0.12,1.75,13.2,7.8,,11.1,10.7,343,10.7,11.3,9.6,23.0,36.7
7,2005,,33.6,0.3,0.1,1.19,13.6,8.3,,8.7,7.9,314,8.3,11.0,8.7,23.3,41.1
7,2010,,28.3,0.31,0.11,3.0,14.7,8.8,,8.4,5.9,248,9.2,13.1,5.2,18.4,39.5
7,2015,3.19,31.8,0.35,0.09,3.33,13.1,5.7,0.04,8.1,7.2,242.0,7.3,10.5,6.4,20.0,27.4
7,2020,3.64,27.1,"<2,00","<0,50",3.55,14.3,5.1,"<0,100",9.9,"<10,00",245,6.68,10.7,"<10,00",20.6,31.2
9,1995,,17.7,0.2,0.7,0.75,7.8,6.0,,10.0,3.1,130,4.7,28.0,32.7,10.0,100.8
9,2000,,15.7,0.19,0.64,1.07,6.4,5.8,,7.6,3.7,128,3.3,29.9,26.1,13.4,101.3
9,2005,,18.6,0.17,0.63,1.33,6.9,4.3,,7.7,3.1,157,3.0,24.7,23.2,14.7,126.2
9,2010,,17.3,0.18,0.2,1.38,6.8,4.3,,7.4,2.7,139,3.7,16.4,6.1,11.6,47.9
9,2015,2.82,11.2,0.15,0.17,1.53,5.9,4.1,0.02,5.4,2.4,120.0,3.3,13.2,5.1,10.4,29.6
9,2020,2.46,10.5,"<2,00","<0,50",1.46,5.8,2.55,"<0,100",6.18,"<10,00",99.4,3.02,10.7,"<10,00",10,22.1
13,1995,,44.0,0.37,0.17,2.49,13.8,6.7,,10.2,8.8,522,8.3,9.5,11.0,26.7,38.3
13,2000,,40.0,0.37,0.21,3.08,12.3,6.3,,8.4,7.6,533,7.2,11.7,8.6,26.7,43.0
13,2005,,36.3,0.34,0.14,3.23,12.4,6.0,,7.9,5.9,527,6.0,13.0,8.0,20.8,43.0
13,2010,,38.6,0.34,0.13,3.99,11.7,5.8,,9.2,6.5,531,7.3,13.0,6.5,15.6,51.2
13,2015,3.29,33.1,0.25,0.12,3.71,10.3,5.4,0.02,6.7,5.0,520.0,5.9,11.1,5.7,13.8,38.0
13,2020,3.45,29.2,"<2,00","<0,50",3.73,12.4,5.03,"<0,100",8.98,"<10,00",503,6.15,11.2,"<10,00",16,32.3
15,1995,,39.3,0.33,0.21,2.55,11.2,5.3,,8.6,6.0,263,7.7,9.3,9.0,20.0,29.0
15,2000,,37.0,0.43,0.16,2.95,12.8,5.5,,10.1,7.0,297,6.9,10.0,11.0,23.3,32.7
15,2005,,38.6,0.3,0.13,3.09,11.0,5.0,,8.2,4.7,245,6.0,12.0,7.0,18.2,28.3
15,2010,,31.6,0.36,0.1,3.25,11.0,4.5,,8.2,5.8,294,7.1,10.8,6.4,13.5,40.0
15,2015,4.15,26.7,0.27,0.08,3.65,9.4,6.1,0.01,7.5,4.3,257.0,7.6,9.8,5.7,12.1,32.0
15,2020,3.15,26.2,"<2,00","<0,50",2.59,8.55,3.59,"<0,100",7.63,"<10,00",281,4.85,8.86,"<10,00",10.5,25.7
17,1995,,33.3,0.2,0.23,1.39,9.5,5.3,,7.3,3.5,380,3.3,9.3,10.4,13.3,40.0
17,2000,,35.0,0.23,0.2,1.13,9.7,4.8,,6.3,3.5,363,3.3,11.2,10.1,16.0,46.7
17,2005,,31.8,0.23,0.18,1.05,8.3,4.7,,5.9,2.0,369,3.2,13.3,8.2,14.0,39.5
17,2010,,30.1,0.21,0.16,1.9,8.1,4.2,,7.0,2.8,328,3.4,11.4,6.2,10.5,40.3
17,2015,2.81,34.4,0.2,0.14,2.28,8.3,5.0,0.01,6.3,2.9,328.0,3.4,10.3,6.9,11.2,39.0
17,2020,3.27,29.1,"<2,00","<0,50",2.15,9.08,4.49,"<0,100",8.26,"<10,00",312,3.39,10.7,"<10,00",11.3,34.3
21,1995,,81.3,0.43,0.19,3.04,16.5,8.7,,11.2,11.0,735,17.5,6.0,14.5,33.3,35.0
21,2000,,88.0,0.5,0.24,3.3,16.2,10.0,,9.6,11.8,702,18.6,8.3,15.7,33.3,43.0
21,2005,,81.8,0.43,0.25,3.51,17.4,14.3,,9.3,10.6,674,16.6,10.6,17.0,23.4,38.3
21,2010,,80.2,0.46,0.24,5.95,14.9,13.5,,8.6,7.4,682,18.4,10.6,15.7,15.4,58.5
21,2015,4.14,70.1,0.44,0.25,5.84,16.1,13.8,0.07,7.4,8.5,609.0,17.9,10.2,16.9,16.8,53.2
21,2020,4.63,85,"<2,00","<0,50",5.85,19.4,18,0.162,12.39,"<10,00",631,18,10.7,24.2,19.8,55.5
23,1995,,69.3,0.43,0.17,2.49,14.8,10.3,,13.6,10.2,442,12.5,9.6,15.5,26.7,36.7
23,2000,,72.0,0.43,0.18,3.83,15.0,10.0,,12.9,10.5,433,12.6,11.0,15.2,30.3,40.3
23,2005,,64.3,0.38,0.2,4.23,13.1,9.4,,9.4,7.4,450,13.0,14.0,12.6,27.5,39.5
23,2010,,60.7,0.38,0.19,4.34,11.9,8.3,,9.7,6.8,452,13.8,15.8,9.4,12.9,44.8
23,2015,3.21,54.4,0.35,0.18,4.7,12.0,9.0,0.04,7.4,6.7,417.0,14.8,9.6,10.4,12.8,47.8
23,2020,2.07,111,"<2,00","<0,50",10.2,8.77,4.88,"<0,100",18.7,"<10,00",513,4.88,15.8,17.2,16.2,67.9
25,1995,,131.7,0.77,0.37,3.37,29.2,20.0,,13.2,19.0,712,27.8,13.9,25.3,60.0,50.0
