"code_param","param_label_in_farmwise","param_label_short_fr","param_label_long_fr","param_nature_fr","param_units","param_definition_fr","param_date_created","param_date_updated","param_status_fr"
1302,"pH","pH","pH","Physique","unité pH","pH du support considéré (activité des ions H+ selon la loi de Nernst).",2017-11-23,1998-03-01,"Validé"
1303,"Salinity","Conductiv.","Conductivité","Physique","µS/cm","Conductivité électrique de l'eau mesurée  ou corrigée à 25°C",2015-06-22,1999-10-29,"Validé"
1337,"Chlorine","Cl-","Chlorures","Chimique","mg(Cl)/L","Teneur en ions chlorures Cl de tous les chlorures dissous dans l'eau.",2017-11-23,2000-01-18,"Validé"
1340,"Nitrate","NO3-","Nitrates","Chimique","mg(NO3)/L","Substance chimique de formule brute NO3-",2017-11-23,2000-01-18,"Validé"
1350,"Phosphorus","P total","Phosphore total","Chimique","mg(P)/L","Teneur globale des organophosphates, des phosphates condensés et des formes organiques du phosphore présents dans l'eau.",2017-11-23,1999-12-03,"Validé"
1367,"Potassium","K","Potassium","Chimique","mg(K)/L","Element chimique de symbole K et de numero atomique 19",2013-03-20,2000-01-17,"Validé"
1369,"Arsenic","As","Arsenic","Chimique","µg(As)/L","Element chimique de symbole As et de numero atomique 33",2021-10-22,2000-01-17,"Validé"
1372,"Magnesium","Mg","Magnésium","Chimique","mg(Mg)/L","Element chimique de symbole Mg et de numero atomique 12",2014-01-17,2000-01-17,"Validé"
1374,"Calcium","Ca","Calcium","Chimique","mg(Ca)/L","Quantification de l?élément Calcium pour tout ou partie de ses états (dissous, solide, ...), à l'exception des formes isotopiques.",2016-03-21,2000-01-17,"Validé"
1375,"Sodium","Na","Sodium","Chimique","mg(Na)/L","Quantification de l'élément Sodium pour tous ses états (dissous, solide, ...).",2016-03-21,2000-01-17,"Validé"
1382,"Lead","Pb","Plomb","Chimique","µg(Pb)/L","Quantification de l'élément Plomb pour tout ou partie de ses états (dissous, solide, etc.).",2021-10-15,1999-12-03,"Validé"
1383,"Zinc","Zn","Zinc","Chimique","µg(Zn)/L","Quantification de l'élément Zinc pour tous ses états (dissous, solide, etc.).",2021-10-15,1999-12-03,"Validé"
1388,"Cadmium","Cd","Cadmium","Chimique","µg(Cd)/L","Quantification de l'élément Cadmium pour tout ou partie de ses états (dissous, solide, etc.).",2021-10-15,2000-01-18,"Validé"
