"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","nb_results_ades_all_params","year_min","year_max","nb_parameters","nb_results","info_up_date"
"00696X0046/SAEP","BSS000FBSC","Grès du Lias inférieur d'Hettange à VILLE-SUR-LUMES","08483",4.7979204466114,49.7605963843733,233.00,16417,1997,2023,21,600,"2024-10-31"
"01116X0098/HY","BSS000HNXA","CALCAIRES OXFORDIENS DU B.P. À MONT-DEVANT-SASSEY-55","55345",5.16107885119219,49.4043429871329,207.00,44149,1971,2023,35,1926,"2024-10-31"
"01123X0013/HY","BSS000HPNC","SOURCE DE L'ENCLOS, CALCAIRES DU DOGGER DU B.P. À VIVIERS-SUR-CHIERS","54590",5.6341287993351,49.4716462609779,227.22,46152,1981,2023,35,1934,"2024-10-31"
"03786X0020/52A","BSS001BABJ","ALLUVIONS DE LA PLAINE D'ALSACE À ROUFFACH","68287",7.29683065269416,47.9498210820773,204.50,34990,1972,2023,35,1582,"2024-10-31"
"04128X0079/HY","BSS001CXDB","Cailloutis pliocènes du Sundgau à BURNHAUPT-LE-BAS","68059",7.17494022528374,47.7147117280703,290.00,38813,1998,2023,35,1514,"2024-10-31"
"04448X0030/SI","BSS001EMUZ","Cailloutis pliocènes du Sundgau à FRIESEN","68098",7.15284703087219,47.556852002812,370.00,34063,1998,2023,35,1392,"2024-10-31"
"04456X0032/S2","BSS001EPMZ","Cailloutis pliocènes du Sundgau à DURMENACH","68075",7.3469814424898,47.5363781886718,412.00,32061,1998,2023,35,1291,"2024-10-31"
"04762X0001/S1","BSS001GFHA","Calcaires jurassiques du Jura à VIEUX-FERRETTE","68347",7.29718618158277,47.4999366439356,500.00,43608,1998,2023,35,1818,"2024-10-31"
"06707X0332/P","BSS001RZQG","Puits de Limon (Limons - 63)","63196",3.44773844499293,45.9632573647252,278.00,25248,1995,2024,35,1156,"2024-10-31"
"06711X0017/162","BSS001RZVN","Forage de Puibereau (Mayet-de-Montagne - 03)","03165",3.60942510499991,46.0624797803451,563.00,16707,2007,2024,34,517,"2024-10-31"
"06883X0148/HY","BSS001SQUZ","Source de Palais (Palais-sur-Vienne - 87)","87113",1.31051831535318,45.8798343246481,319.00,21914,2007,2024,34,519,"2024-10-31"
"06925X0010/S","BSS001STCX","Source des Granges (Herment - 63)","63175",2.558962,45.7657,755.00,21228,2006,2024,35,564,"2024-10-31"
"07421X0075/P1","BSS001VJEW","Puits du Broc (Broc - 63)","63054",3.274266,45.491663,397.00,27126,2007,2024,34,829,"2024-10-31"
"08151X0006/C","BSS001YWZB","SOURCE DE DOUCHANEZ","43136",3.66993152190499,44.9603602797712,890.00,19083,2007,2024,34,601,"2024-10-31"
"08165X0002/SCE","BSS001YXNB","SOURCE DU MOULIN ROCHER ( SAINT-MARTIN-DE-FUGÈRES - 43)","43210",3.95816880180747,44.8898278404756,950.00,18291,2001,2024,34,636,"2024-10-31"
"06348X0006/F","BSS001QHJU","Cornet (Surgeres - 17)","17434",-0.737108,46.096676,25.00,9909,1996,2015,14,921,"2024-10-31"
"06608X0093/F","BSS001RQSS","Forage de moulin neuf (saint-fraigne - 16)","16317",-0.00748227909372909,45.9395528762994,72.00,9972,1987,2024,35,1047,"2024-10-31"
"06818X0523/F","BSS001SHLS","Route neuve (tremblade(la) - 17)","17452",-1.12869054015405,45.7829270617922,2.00,11708,2001,2024,35,1075,"2024-10-31"
