"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","year_min","year_max","nb_gwlevel_obs","info_up_date"
"06775X0010/BOURSI","BSS001SEGB","FORAGE - VOIE FERREE (BOURSIN - BRGM 01) - BSH","01010",5.82327427421463,45.9196304800455,250.45,1991,2024,10333,"2024-12-04"
"BSS003EFKG/X","BSS003EFKG"," PIEZOMETRE – CONFLUENCE (ARTEMARE – BRGM 01)","01022",5.68701235697509,45.8741934000865,246.31,2018,2024,2304,"2024-12-04"
"07004X0046/D6-20","BSS001TTQQ","PIEZOMETRE - MARAIS DE LAVOURS (CEYZERIEU - BRGM 01) - BSH","01073",5.74824091305697,45.8281483770952,232.00,2005,2024,6349,"2024-12-04"
"06277X0084/SO","BSS001QAWG","SOURCE BLEUE DE DORTAN","01148",5.66282009472913,46.3100174862549,385.00,2002,2013,3718,"2024-12-04"
"06288X0096/SB","BSS001QCDZ","PIEZOMETRE - CENTRE EQUESTRE (GEX - BRGM 01) - BSH","01173",6.06971045433496,46.3290304971764,558.68,1998,2024,8890,"2024-12-04"
"06993X0226/MEXI_2","BSS001TRPH","PIEZOMETRE - BORD AUTOROUTE (MEXIMIEUX - BRGM 01) - BSH","01244",5.22079494499652,45.8957342695518,218.77,1983,2024,11354,"2024-12-04"
"06533X0070/F2","BSS001RGXM","PIEZOMETRE - GRENY (PERON - BRGM 01) - BSH","01288",5.948977061757,46.2011796846287,499.85,1995,2024,10057,"2024-12-04"
"06256X0188/PZ","BSS001PZGD","PIEZOMETRE - CHANAY (REPLONGES - BRGM 01) - BSH","01320",4.85565826196734,46.2925797713296,174.89,2002,2024,7947,"2024-12-04"
"06754X0077/F1","BSS001SCTM","PIEZOMETRE - GRAVIERE (ST-JEAN-LE-VIEUX - BRGM 01) - BSH","01363",5.35663675229116,46.0281018091017,247.25,2007,2024,6225,"2024-12-04"
"06757X0071/PZ","BSS001SDAF","Piézomètre de St-Maurice-de-Rémens","01379",5.27617215763516,45.9638739197992,224.00,2002,2024,7742,"2024-12-04"
"06512X0037/STREMY","BSS001REWW","PIEZOMETRE - RUISSEAU DES POCHES (ST-REMY - BRGM 01) - BSH","01385",5.18713262971692,46.1909541655103,223.87,1977,2024,8805,"2024-12-04"
"BSS003EFOW/X","BSS003EFOW","PIEZOMETRE – CNR (ST SORLIN EN BUGEY – BRGM 01)","01386",5.37237247937614,45.8774796137497,197.96,2018,2024,2306,"2024-12-04"
"06993X0087/F6","BSS001TRJH","PIEZOMETRE - STATION ESSENCE (ST-VULBAS - BRGM 01) - BSH","01390",5.28515582463829,45.8373966492216,208.21,1979,2024,8829,"2024-12-04"
"06518X0026/P2","BSS001RFRV","FORAGE - ENCLOS (TOSSIAT - BRGM 01) - BSH","01422",5.31335279619436,46.1364022022903,260.00,1988,2024,10185,"2024-12-04"
"06742X0001/VILLEN","BSS001SBPB","FORAGE - GEOTHERMIE (VILLENEUVE - BRGM 01) - BSH","01446",4.83075421003292,46.018340873965,265.22,1991,2024,11369,"2024-12-04"
"01066X0133/S1","BSS000HFUA","ACY 01066X0133","02003",3.41498532923408,49.3556006366428,85.00,1974,2024,11468,"2024-12-04"
"01074X0006/S1","BSS000HJFB","PIEZOMETRE DE AMIFONTAINE - 02","02013",3.9190364988278,49.4880323712711,86.00,1970,2024,11890,"2024-12-04"
"01306X0023/S1","BSS000KBUZ","PIEZOMETRE DE ARMENTIERES-SUR-OURCQ - 02","02023",3.38069714691001,49.1669639063263,124.00,1974,2024,14473,"2024-12-04"
"00836X0007/P","BSS000FWEX","PIEZOMETRE DE BARISIS-AUX-BOIS - 02","02049",3.33170814370471,49.572928675412,97.50,1974,2024,6408,"2024-12-04"
"01568X0101/S1","BSS000LSTC","PIEZOMETRE DE BAULNE-EN-BRIE - 02","02053",3.58544893177343,48.9871119614491,189.00,1974,2024,6506,"2024-12-04"
"00643X0031/P","BSS000EUNW","BEAUVOIS-EN-VERMANDOIS-00643X0031","02060",3.10043244951457,49.8413164169935,91.00,1979,2024,6971,"2024-12-04"
"00493X0061/S1","BSS000EEWV","PIEZOMETRE DE BECQUIGNY - 02","02061",3.46950277992239,50.0137191024196,144.00,1970,2019,5428,"2024-12-04"
"00493X0346/PZ1","BSS000EFDF","BECQUIGNY-00493X0346","02061",3.46972718674381,50.0166981929344,147.00,2014,2024,3630,"2024-12-04"
"00665X0016/S1","BSS000EYPE","PIEZOMETRE DE BOIS-LES-PARGNY - 02","02096",3.65682068716626,49.7380664175975,137.00,1974,2024,14909,"2024-12-04"
"00484X0018/S1","BSS000EDHP","BONY-00484X0018","02100",3.22287973577719,49.9878800094647,135.00,1970,2024,7200,"2024-12-04"
"01067X0362/BL7","BSS000HGZW","PIEZOMETRE DE BUCY-LE-LONG -02","02131",3.413298,49.376989,45.00,2011,2024,4930,"2024-12-04"
"00837X0027/F","BSS000FWJZ","PIEZOMETRE DE CESSIERES - 02","02153",3.49531096882777,49.5563451155437,109.00,2007,2024,6405,"2024-12-04"
"01567X0083/S1","BSS000LSKH","PIEZOMETRE DE COURBOIN - 02","02223",3.48385797803689,49.0024746549491,223.00,1974,2024,5759,"2024-12-04"
"01561X0044/S1","BSS000LQLC","PIEZOMETRE DE COURCHAMPS - 02","02225",3.26419706444467,49.112563829187,153.00,1974,2024,6279,"2024-12-04"
"01562X0208/PZL4","BSS000LQZY","PIEZOMETRE DE EPAUX BEZU ","02279",3.35042699420218,49.1235798180079,175.00,2018,2024,2444,"2024-12-04"
"00502X0003/S1","BSS000EGEP","PIEZOMETRE DE ESQUEHERIES - 02","02286",3.77409038966949,49.9951273330588,182.00,1974,2024,6338,"2024-12-04"
"00497X0018/S1","BSS000EFUM","PIEZOMETRE DE ETAVES-ET-BOCQUIAUX - 02","02293",3.45199559223322,49.9379930827255,150.00,1970,2024,7951,"2024-12-04"
"01308X0082/S1","BSS000KCKN","PIEZOMETRE DE FERE-EN-TARDENOIS - 02","02305",3.51321897701631,49.2029179932507,125.00,1974,2024,11167,"2024-12-04"
"00496X0019/S1","BSS000EFRF","PIEZOMETRE DE FONSOMMES - 02","02319",3.40215657860893,49.9006816966691,98.00,1970,2024,6661,"2024-12-04"
"00842X0048/F.IRRI","BSS000FWWK","SAMMOUSSY","02346",3.73336601621212,49.6149860697021,82.00,1997,2024,2452,"2024-12-04"
"00843X0024/S1","BSS000FWXT","PIEZOMETRE DE GOUDELANCOURT-LES-PIERREPONT - 02","02350",3.85408613317658,49.6691134486842,102.00,1967,2024,6476,"2024-12-04"
"01562X0212/PZL2","BSS000LRAC","PIEZOMETRE DE GRIZOLLES","02356",3.36865524470625,49.1286002220477,173.00,2018,2024,2445,"2024-12-04"
"00516X0059/S1","BSS000EJEJ","PIEZOMETRE DE HIRSON - 02","02381",4.09999300873416,49.90650999347,200.00,1974,2024,6528,"2024-12-04"
"00491X0013/P","BSS000EEJQ","PIEZOMETRE DE JONCOURT - 02","02392",3.31513687697977,49.9678987332569,120.50,1979,2024,6727,"2024-12-04"
"00845X0036/S1","BSS000FXJH","PIEZOMETRE DE LAON - 02","02408",3.60072883856108,49.5722749425598,82.20,1974,2024,11697,"2024-12-04"
"00652X0007/F","BSS000EWQJ","PIEZOMETRE DE MESNIL-SAINT-LAURENT - 02","02481",3.36476452880171,49.831430932855,121.00,1971,2024,6611,"2024-12-04"
"00512X0206/P","BSS000EHVD","PIEZOMETRE DE MONDREPUIS - 02","02495",4.06636122585651,49.953581477031,215.00,2006,2024,6344,"2024-12-04"
"01064X0054/P","BSS000HEXW","PIEZOMETRE DE PARGNY-FILAIN - 02","02589",3.5360141371793,49.4520762164246,186.00,1968,2024,6319,"2024-12-04"
"00654X0014/S1","BSS000EXAN","PIEZOMETRE DE PARPEVILLE - 02","02592",3.57080815229847,49.7976158750901,133.00,1974,2024,10217,"2024-12-04"
"00671X0052/S1","BSS000EZBH","PIEZOMETRE DE PLOMION - 02","02608",4.03581172408548,49.8384963750084,219.00,1974,2024,11669,"2024-12-04"
"00675X0019/S1","BSS000EZQH","PIEZOMETRE DE RENNEVAL - 02","02641",4.04593347190513,49.7422074720254,188.00,1970,2024,12081,"2024-12-04"
"00663X0124/F_2008","BSS000EYGR","PIEZOMETRE DE ROUGERIES - 02","02657",3.78616262834109,49.7953534508072,104.20,2008,2024,5798,"2024-12-04"
"00847X0043/S1","BSS000FXUB","PIEZOMETRE DE SAINT-ERME-OUTRE-ET-RAMECOURT - 02","02676",3.86369554850709,49.5212768580022,99.00,1970,2024,11619,"2024-12-04"
"00855X0001/S1","BSS000FYHV","PIEZOMETRE DE SELVE(LA) - 02","02705",3.99896203374192,49.5701589598057,94.00,1974,2024,14657,"2024-12-04"
"00506X0007/P","BSS000EGWT","Puits de Le Sourd","02731",3.76608614518439,49.8681573060629,170.00,2012,2024,4538,"2024-12-04"
"00651X0092/F","BSS000EWHZ","PIEZOMETRE DE URVILLERS - 02","02756",3.31173896059077,49.7925629616709,111.50,1964,2024,6350,"2024-12-04"
"00501X0017/S1","BSS000EGAT","PIEZOMETRE DE VENEROLLES","02779",3.63287636218181,49.9881532839873,147.00,1974,2024,5388,"2024-12-04"
"01293X0071/S1","BSS000JZSV","PIEZOMETRE DE VILLERS-COTTERETS - 02","02810",3.09820668837218,49.2492204091364,138.00,1974,2024,12166,"2024-12-04"
"00643X0015/P","BSS000EUNE","PIEZOMETRE DE VILLERS-SAINT-CHRISTOPHE - 02","02815",3.10058880031583,49.7848087020643,89.00,1998,2024,6811,"2024-12-04"
"01293X0048/S1","BSS000JZRW","PIEZOMETRE DE VIVIERES - 02","02822",3.09996913073343,49.301008549239,138.00,1974,2024,5935,"2024-12-04"
"06226X0001/PT","BSS001PWPV","Puits de l'école (Barrais-Bussoles - 03)","03017",3.71687805609355,46.2904869790317,457.50,2007,2024,6031,"2024-12-04"
"06461X0018/F","BSS001RAKE","Puits du stade (Brout-Vernet - 03)","03043",3.27884997014393,46.19376579887,309.00,2007,2024,6334,"2024-12-04"
"06712X0025/PUITS","BSS001RZXV","Puits de la place de l'église (La Chabanne - 03)","03050",3.752751,46.021878,682.00,2007,2024,5932,"2024-12-04"
"06211X0041/P3CAPT","BSS001PVGT","Puits P3 Captage (Chatel-de-Neuvre - 03)","03065",3.3223358758324,46.4028974788476,221.60,2004,2024,7057,"2024-12-04"
"06211X0042/P1BOSQ","BSS001PVGU","Puits P1 Bosquet (Chatel-de-Neuvre - 03)","03065",3.32425476204025,46.406146968567,220.42,2004,2024,7352,"2024-12-04"
"06191X0163/PZ","BSS001PUHH","Puits du parc des Expositions (Desertines - 03)","03098",2.60318003464421,46.3671801620243,200.00,2007,2024,6173,"2024-12-04"
"05992X1084/AUBIN","BSS001NYQW","Puits de Saint Aubin (Dompierre-sur-Besbre - 03)","03102",3.739456,46.572587,207.00,2009,2024,5773,"2024-12-04"
"05991X0043/PZ32","BSS001NYJC","Puits PZ32 (Dompierre-sur-Besbre - 03)","03102",3.734891,46.568382,213.00,2009,2024,5590,"2024-12-04"
"05992X1083/PRAS","BSS001NYQV","Puits des Pras  (Dompierre-sur-Besbre - 03)","03102",3.72244236646724,46.562941992667,210.50,2009,2024,5651,"2024-12-04"
"06212X0085/P4","BSS001PVLH","Puits P4 Coteaux (La Ferté-hauterive - 03)","03114",3.33005057562497,46.4051427191515,222.20,2004,2024,7281,"2024-12-04"
"05761X1027/FRESSA","BSS001MXUZ","PUITS DE FRESSANGE (GANNAY-SUR-LOIRE - 03)","03119",3.623314,46.718143,202.82,2009,2024,5764,"2024-12-04"
"05761X1026/LEPORT","BSS001MXUY","PUITS DU PORT (GANNAY-SUR-LOIRE - 03)","03119",3.63032080975385,46.725061001901,204.00,2009,2023,5339,"2024-12-04"
"05761X1025/GEORGE","BSS001MXUX","Puits de Georges (Gannay-Sur-Loire - 03)","03119",3.63492732541608,46.7267273795757,199.00,2009,2024,5620,"2024-12-04"
"06198X0023/PUITS","BSS001PVBQ","Puits de la place de la Mairie (Hyds - 03)","03129",2.82980992197309,46.284315208291,484.00,2006,2024,6082,"2024-12-04"
"06216X0226/P30-01","BSS001PWDE"," Puits du Rondet (Marcenat - 03)","03160",3.38882913479055,46.260586622234,248.76,2006,2016,3401,"2024-12-04"
"06216X0362/PZ","BSS001PWJW","Rondet 2 - PZ2","03160",3.38903569297783,46.26164494437,248.07,2016,2024,3043,"2024-12-04"
"06216X0228/P30-10","BSS001PWDG","Puits des Mottes (Paray-sous-Briailles - 03)","03204",3.40173003436263,46.2728651316311,237.20,2006,2024,6063,"2024-12-04"
"06216X0227/P30-04","BSS001PWDF","Puits de la Croix rouge (Paray-sous-Briailles - 03)","03204",3.3944309940896,46.2664910333222,236.45,2006,2016,3253,"2024-12-04"
"06216X0361/PZ","BSS001PWJV","croix rouge 2","03204",3.3943415709894,46.2664893490735,237.54,2016,2024,3075,"2024-12-04"
"05736X2011/PZ2","BSS001MWNL","PZ2","03221",2.67950595126554,46.6826149253143,215.00,2015,2024,3191,"2024-12-04"
"05736X0002/P1","BSS001MWMP","PUITS DE CHAVANNES (SAINT-BONNET-DE-TRONCAIS - 03)","03221",2.67995029381964,46.6825686093805,213.50,2000,2015,5251,"2024-12-04"
"05986X0106/P16-21","BSS001NYBR","Puits des Martins (Toulon-Sur-Allier - 03)","03286",3.35803444912538,46.484443132378,215.66,2006,2024,6606,"2024-12-04"
"05986X0104/P16-14","BSS001NYBP","Puits des Oies (Toulon-Sur-Allier - 03)","03286",3.33771230174446,46.4970673360067,213.34,2006,2024,6599,"2024-12-04"
"05986X0103/P16-20","BSS001NYBN","Puits des Iles (Toulon-Sur-Allier - 03)","03286",3.33188933064519,46.4992508072316,213.12,2006,2024,6163,"2024-12-04"
"09436X0138/1P","BSS002DWBT","La Brillanne - la Princesse","04034",5.89454981038218,43.9449599811778,354.55,1987,2024,8642,"2024-12-04"
"09445X0008/PZ-4","BSS002DWPN","Estoublon - les Isnards","04084",6.16760982662733,43.9449233141998,353.00,2002,2024,7855,"2024-12-04"
"09432X0005/P","BSS002DVET","Ganagobie - Les Iscles de la Palun","04091",5.9342972443603,44.0105962591745,383.20,1987,2024,8713,"2024-12-04"
"09434X0030/2PMI","BSS002DVSJ","Malijai - Sté Perasso","04108",6.0592206824397,44.0442324182241,450.00,1988,2024,8030,"2024-12-04"
"09441X0013/P1","BSS002DWJB","Mallemoisson - Le Stade","04110",6.11995706460449,44.0362334181034,493.00,1988,2024,9953,"2024-12-04"
"09691X0120/PIEZ","BSS002FCRV","Manosque - La Forestière","04112",5.82695920395736,43.832584588225,312.00,2001,2024,8276,"2024-12-04"
"09437X0036/23P","BSS002DWEP","Les Mées - les Bourelles","04116",5.94277788495395,44.008627714933,385.91,1987,2024,9195,"2024-12-04"
"09683X0109/PZ1","BSS002FBZR","Montjustin - Les Courbons","04129",5.66454385828643,43.8594243797591,429.00,2011,2024,4257,"2024-12-04"
"09692X0122/PIEZ","BSS002FDBD","Oraison - la Grande Bastide","04143",5.91044151768189,43.9016942839077,344.00,2001,2024,8300,"2024-12-04"
"09433X0162/PIEZ","BSS002DVMZ","Peyruis - Les Actions","04149",5.94671236904774,44.0277656728135,390.00,2001,2024,6886,"2024-12-04"
"09964X0020/PZ1","BSS002HCDN","Saint-Laurent-du-Verdon - Font la Pierre","04186",6.07880245515338,43.7173350263292,432.00,2008,2024,6024,"2024-12-04"
"09695X0205/PIEZ","BSS002FDNR","Sainte Tulle - les Prés Vieux","04197",5.77394373079533,43.7742413172049,282.00,2001,2024,8362,"2024-12-04"
"09172X0094/P","BSS002CQHE","SISTERON - LE PUITS ISNARD","04209",5.93516813278131,44.2159755539889,466.00,1982,2024,8241,"2024-12-04"
"09693X0029/P","BSS002FDDN","VALENSOLE - JARDIN D'ENFANTS","04230",5.99121627310331,43.8383089243299,545.00,2006,2024,6488,"2024-12-04"
"09692X0128/PZ-3","BSS002FDBK","Valensole - Val d'Asse","04230",5.93554568590758,43.8814423445474,352.20,2002,2024,7686,"2024-12-04"
"08688X0023/PZ1","BSS002AUZN","Aspremont - Parking","05008",5.72893309938946,44.4934439170521,718.00,2009,2024,5493,"2024-12-04"
"09172X0078/P","BSS002CQGN","RIBIERS - L'ISCLE","05118",5.86294957278305,44.2312301394101,494.00,2006,2024,6120,"2024-12-04"
"08472X0007/F-1","BSS001ZZDP","LA-ROCHE-DE-RAME","05122",6.58266214540976,44.7386911982622,926.74,1987,2024,7436,"2024-12-04"
"08466X0023/S3","BSS001ZYYZ","LE FOULON","05145",6.24041062739112,44.6683979900446,1135.00,2005,2024,5931,"2024-12-04"
"08466X0009/F2","BSS001ZYYK","Saint-Jean-Saint-Nicolas - Les Ricous","05145",6.26081882078697,44.6809494376153,1166.80,1989,2024,9323,"2024-12-04"
"09724X0023/P2","BSS002FEUA","GILETTE - LE DEVENS (P2)","06066",7.18888793356329,43.8316160087107,116.00,1971,2024,12254,"2024-12-04"
