,Name,Code,Value,coordinates,lat,lon
149180020,"CHAŁUPKI,Poland",Odra (1),10,"(49.9251425, 18.3179213)",49.9251425, 18.3179213
149180300,"OLZA,Poland",Odra (1),15,"(49.9513664, 18.3455348)",49.9513664, 18.3455348
149180010,"KRZYŻANOWICE,Poland",Odra (1),20,"(51.1964571, 21.2281179)",51.1964571, 21.2281179
150189994,"RACIBÓRZ,Poland",Odra (1),25,"(50.0917343, 18.2196766)",50.0917343, 18.2196766
150180060,"RACIBÓRZ-MIEDONIA,Poland",Odra (1),30,"(50.12167825, 18.22044330549266)",50.12167825, 18.22044330549266
150180030,"KOŹLE,Poland",Odra (1),31,"(50.3358594, 18.1444165)",50.3358594, 18.1444165
150170240,"KRAPKOWICE,Poland",Odra (1),32,"(50.4747406, 17.9670987)",50.4747406, 17.9670987
150170290,"OPOLE-GROSZOWICE,Poland",Odra (1),324,"(50.6365094, 17.9547075)",50.6365094, 17.9547075
150170230,"OPOLE,Poland",Odra (1),33,"(50.678792900000005, 17.929884436033525)",50.678792900000005, 17.929884436033525
150170130,"UJŚCIE NYSY KŁODZKIEJ,Poland",Odra (1),34,,None,
150170090,"BRZEG,Poland",Odra (1),35,"(50.8614882, 17.470497)",50.8614882, 17.470497
150170040,"OŁAWA,Poland",Odra (1),36,"(50.9431901, 17.2957066)",50.9431901, 17.2957066
151170030,"TRESTNO,Poland",Odra (1),37,"(51.0766321, 17.1446562)",51.0766321, 17.1446562
151160170,"BRZEG DOLNY,Poland",Odra (1),38,"(51.2691744, 16.7083805)",51.2691744, 16.7083805
151160150,"MALCZYCE,Poland",Odra (1),40,"(51.2203518, 16.493719)",51.2203518, 16.493719
151160130,"ŚCINAWA,Poland",Odra (1),50,"(51.4165346, 16.4259732)",51.4165346, 16.4259732
151160060,"GŁOGÓW,Poland",Odra (1),51,"(51.6636791, 16.0935567)",51.6636791, 16.0935567
