county,station name,name,height(m),easting,northing,latitude,longitude,open year,close year
Antrim,5880,LH_RATHLIN_WEST,10,309200,451800,55.30083,-6.28028,2000,(null)
Carlow,4415,TULLOW (Waterworks),76,284700,173400,52.80528,-6.74306,1985,(null)
Carlow,2414,BORRIS G.S.,85,272400,150700,52.60278,-6.93056,1944,1991
Carlow,1214,CARLOW (SUGAR FACTORY),58,272200,178400,52.85139,-6.92778,1953,1960
Carlow,115,HACKETSTOWN RECTORY,182,297600,180500,52.86667,-6.55,1910,1944
Carlow,4214,CARLOW (AGR.RES.STN.),55,272600,177900,52.84722,-6.92222,1960,1968
Carlow,3614,GRAIGUENAMANAGH,27,271100,143100,52.53472,-6.95139,1951,1998
Carlow,3315,BUNCLODY(CARRICKDUFF)G.S.,61,290500,157000,52.65694,-6.6625,1973,1984
Carlow,3115,TULLOW (HARDYMOUNT HSE.),79,284000,172500,52.79722,-6.75417,1963,1965
Carlow,9914,M.BLACKSTAIRS MTNS.(KNOCKROE),539,282000,149800,52.59306,-6.79028,1950,2000
Carlow,6114,POLLMOUNTY FISH FARM,24,274500,135545,52.46667,-6.90278,1987,(null)
Carlow,2214,LEIGHLINBRIDGE G.S.,56,268900,165200,52.73333,-6.98056,1944,1984
Carlow,514,CARLOW (BROWNE'S HILL),55,275400,175800,52.82778,-6.88056,1866,1959
Carlow,1414,BAGENALSTOWN (FENAGH HSE.),106,277400,161300,52.69722,-6.85556,1866,1986
Carlow,6014,CLASHGANNA MILLS,27,273800,146200,52.5625,-6.91111,1987,1989
Carlow,375,OAK PARK,62,273000,179500,52.86111,-6.91528,2003,(null)
Carlow,5914,BAGENALSTOWN (KILDREENAGH),128,274900,163400,52.71639,-6.89167,1985,2001
Carlow,4515,TULLOW (Ardoyne Glebe),79,288200,169800,52.77194,-6.69333,1985,(null)
Carlow,1014,GLYNN G.S.,50,274400,139100,52.49861,-6.90417,1946,1960
Carlow,5314,BAGENALSTOWN (FENAGH II),104,277700,161500,52.69917,-6.85111,1982,1989
Carlow,4814,CARLOW (Oak Park),61,273000,179500,52.86111,-6.91528,1967,1996
Carlow,7414,BORRIS,86,272508,150661,52.60278,-6.93056,1890,1895
Carlow,6214,BAGENALSTOWN (RATHELLIN),52,270000,163500,52.71806,-6.96389,1990,1993
Carlow,2015,RATHVILLY G.S.,122,288000,181700,52.87917,-6.69306,1949,1988
Carlow,515,TULLOW (MT.ST.JOSEPH'S),79,285800,171800,52.79028,-6.72778,1949,1960
Carlow,2115,HACKETSTOWN (Voc.Sch.),189,297500,179900,52.86111,-6.55278,1949,(null)
Carlow,1815,BALLON G.S.,82,282900,166500,52.74306,-6.77222,1949,1980
Carlow,6914,GARRYHILL (MILLTOWN),107,278600,158700,52.67389,-6.8375,2003,2005
Carlow,2114,CARLOW (TRANS.STN.),55,271300,176700,52.83611,-6.94167,1944,1971
Cavan,9937,M.SWANLINBAR FOREST,183,220700,321700,54.14389,-7.68333,1995,1999
Cavan,2637,COOTEHILL (VOC.SCH.),107,259800,314500,54.07639,-7.08611,1951,1968
Cavan,738,KINGSCOURT G.S.,105,278600,295900,53.90694,-6.80417,1943,1988
Cavan,237,BALLYCONNELL G.S.,55,227400,319000,54.11944,-7.58056,1942,1959
Cavan,2431,BAILIEBORO' G.S.,162,267700,296900,53.91667,-6.96944,1944,1966
Cavan,637,CROSSDONEY (KEVIT CASTLE),64,238200,301200,53.95833,-7.41806,1923,1975
Cavan,631,VIRGINIA (FOR.STN.),96,258100,287800,53.83611,-7.11667,1942,1950
Cavan,2937,BALLINAGH G.S.,93,238900,298400,53.93333,-7.40694,1951,1968
Cavan,1330,FINEA (MAUGHERA HATCHERIES),70,241500,284000,53.80417,-7.36944,1956,1972
Cavan,1437,REDHILLS G.S.,66,244700,317300,54.10278,-7.31667,1942,2000
Cavan,737,BALLYHAISE (AGR.COLL.),67,245200,311600,54.05139,-7.30972,1923,2005
Cavan,3037,SWANLINBAR,69,219400,327500,54.19583,-7.70278,1942,2018
Cavan,1431,MULLAGH G.S.,107,269600,285100,53.81111,-6.94306,1942,1989
Cavan,1337,CAVAN (TRANS.STN.),88,242100,305500,53.99722,-7.35833,1942,1987
Cavan,675,BALLYHAISE,78,245200,311600,54.05139,-7.30972,2003,(null)
Cavan,3131,VIRGINIA G.S.,91,260400,287500,53.83333,-7.08194,1951,1990
Cavan,3631,BAILIEBORO' CASTLE,152,266200,298100,53.92778,-6.99167,1958,1973
Cavan,3437,COOTEHILL (COMP. SCH.),98,261100,313800,54.06944,-7.06667,1968,1969
Cavan,430,BALLYJAMESDUFF G.S.,110,252300,290800,53.86389,-7.20556,1942,1984
Cavan,1737,GOWNA (SALLAGHAN BRIDGE),76,232700,293100,53.88611,-7.50278,1944,1973
Cavan,837,SHERCOCK G.S.,110,272100,305900,53.99722,-6.9,1942,1987
Cavan,4137,CAVAN (Drumconnick),88,239685,305290,53.99556,-7.39556,1984,2019
Cavan,4037,LOUGH GOWNA (GLENBROOK),91,231200,292100,53.87778,-7.525,1973,2009
Cavan,4031,BAILIEBORO (Duneena),158,264460,299820,53.94389,-7.01917,1973,(null)
Cavan,1530,LAVAGH (BALLYHEELAN),90,244100,286700,53.82778,-7.33056,1972,1977
Cavan,4131,BAILIEBORO (Leiter),155,264850,298560,53.9325,-7.01333,1973,(null)
Cavan,437,KILLESHANDRA G.S.,64,231000,307400,54.01528,-7.52778,1951,1959
Cavan,4437,KILNALECK (Omard),119,243600,290000,53.85722,-7.33722,1985,1996
Cavan,4337,CAVAN LORETO COLLEGE,64,241200,307200,54.0125,-7.37167,1985,2011
Cavan,4637,BALLYCONNELL (Mullaghduff),84,228200,317700,54.10722,-7.56889,1985,(null)
Cavan,4537,KILLESHANDRA TOWN LAKE,61,231100,308200,54.02222,-7.52472,1985,2000
Cavan,4837,COOTEHILL (VICARS HILL),91,258500,312000,54.05389,-7.10694,1992,1994
Cavan,337,BLACKLION G.S.,65,208000,338100,54.29167,-7.87778,1942,1961
Cavan,5037,BELTURBET (Naughan),76,236700,320700,54.13389,-7.43889,1993,(null)
Cavan,4937,COOTEHILL (Mountain Lodge),189,258300,303300,53.97583,-7.11194,1993,1993
